cluster_id,size,disposition,rule,decisions,categories,unit_kinds,files
DC-00001,230,no-spec-home,BR-4,D-109,open_items,blockquote,open_items/OI-1.md;open_items/OI-10.md;open_items/OI-100.md;open_items/OI-101.md;open_items/OI-102.md
DC-00002,74,not-a-decision,BR-14,,governing;open_items,heading;paragraph,OPEN_ITEMS.md;open_items/OI-10.md;open_items/OI-101.md;open_items/OI-102.md;open_items/OI-103.md
DC-00003,50,boilerplate,BR-1,,cc_reports,heading,cc_foundations_verification_report.md;cc_instruction_a8_metric_rebaseline_measure.md;cc_instruction_c1_reliability_instrumentation.md;cc_instruction_cadence_key_investigation.md;cc_instruction_cadence_precision_investigation.md
DC-00004,27,boilerplate,BR-1,,cc_reports,heading,cc_instruction_anchor_design_investigation.md;cc_instruction_b_dominant_subdominant_guard_scoping.md;cc_instruction_backup_batch2.md;cc_instruction_backup_cowork_docs.md;cc_instruction_bridge_anchor_investigation.md
DC-00005,21,boilerplate,BR-1,,cc_reports,heading,cc_instruction_doctruth_gate_sync.md;cc_instruction_j_key_i.md;cc_instruction_j_key_ii.md;cc_instruction_j_key_ii_redux.md;cc_instruction_layer1_implementation.md
DC-00006,17,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_batch_analyze_unification_audit.md;cc_instruction_clang_branch_coverage.md;cc_instruction_doctruth_gate_sync.md;cc_instruction_l1l3_delta_check_resync.md;cc_instruction_l1l3_spec_sync.md
DC-00007,16,boilerplate,BR-1,,cc_reports,heading,cc_instruction_b2_subdominant_guard_build.md;cc_instruction_doc_recovery.md;cc_instruction_doc_sync_layer1.md;cc_instruction_foundation_stage3b.md;cc_instruction_j_key_iii_step3_land.md
DC-00008,15,not-a-decision,BR-14,,governing;open_items,heading;paragraph,OPEN_ITEMS.md;open_items/OI-176.md;open_items/OI-177.md;open_items/OI-23.md;open_items/OI-24.md
DC-00009,15,boilerplate,BR-1,,cc_reports,table_row,cc_stage2a_wip_triage_report.md
DC-00010,11,not-a-decision,BR-14,,governing;open_items,heading;paragraph,OPEN_ITEMS.md;open_items/OI-58.md;open_items/OI-61.md;open_items/OI-64.md;open_items/OI-65.md
DC-00011,11,boilerplate,BR-1,,cc_reports,heading,cc_instruction_adoption_measurement.md;cc_instruction_algorithm_completion.md;cc_instruction_direct_metric_weight_fit.md;cc_instruction_joint_fact_adapter.md;cc_instruction_joint_input_parity.md
DC-00012,11,boilerplate,BR-1,,cc_reports,heading,cc_instruction_anchor_redesign_investigation.md;cc_instruction_audit_cadencekeyanchor.md;cc_instruction_audit_chordanalyzer_oracle.md;cc_instruction_audit_harmonicfunctionlayer.md;cc_instruction_audit_jointkeydecision.md
DC-00013,11,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_l1_l2_audit_blind_rerun.md;cc_instruction_l3_audit_pass1.md;cc_instruction_l3_audit_pass2.md;cc_instruction_l4_audit_pass1.md;cc_instruction_l4_audit_pass1_decoder.md
DC-00014,10,boilerplate,BR-1,,cc_reports;docs,heading;paragraph,cc_j_key_iii_integration_dossier.md;docs/divergence_d_recon.md;docs/format_symbol_audit.md;docs/musescore_parser_special_notations_recon.md;docs/phase5_recon.md
DC-00015,10,not-a-decision,BR-10,,open_items,paragraph,open_items/OI-141.md;open_items/OI-142.md;open_items/OI-143.md;open_items/OI-144.md;open_items/OI-41.md
DC-00016,9,not-a-decision,BR-12,,cc_reports,heading;paragraph,cc_acquisition_round_report.md;cc_corpus_wave2_report.md;cc_corpus_wave3_report.md;cc_stage5_phase0_report.md;cc_stage5_phase1_report.md
DC-00017,9,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_backup_batch2.md;cc_instruction_backup_cowork_docs.md;cc_instruction_baseline_reconciliation.md;cc_instruction_layer3_tpc_keymeasure.md;cc_instruction_layer4_b_fairkey.md
DC-00018,7,boilerplate,BR-1,,cc_reports,bullet,cc_engage_joint_key_chord_design_report.md;cc_instruction_engage_fanout_measure.md;cc_instruction_engage_joint_key_chord_design.md;cc_instruction_engage_l5_carry_selection_design.md;cc_instruction_engage_l5_pedal_annotate_design.md
DC-00019,7,restates,BR-3,D-013,code_comments,block_comment,src/notation/tests/pipeline_snapshot_tests/pipeline_snapshot_tests.cpp
DC-00020,6,boilerplate,BR-1,,cc_reports,table_row,cc_gap_analysis_report.md
DC-00021,6,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_refactor1_split_build.md;cc_instruction_refactor_harmonicsegmenter_split.md;cc_instruction_refactor_keymodeanalyzer_split.md;cc_instruction_refactor_keyresolver_split.md;cc_instruction_refactor_regiontonecollector_split.md
DC-00022,5,unresolved,BR-8,,docs,paragraph,docs/phase4_recon.md
DC-00023,5,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_audit_chordanalyzer_oracle.md;cc_instruction_audit_harmonicfunctionlayer.md;cc_instruction_audit_keymodeanalyzer.md;cc_instruction_audit_localmodulationdetector.md;cc_instruction_phase2_architecture_support.md
DC-00024,5,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_key_mode_inference_diagnosis.md;cc_instruction_l3_audit_pass2_relabel.md;cc_instruction_l4_audit_pass2.md;cc_instruction_l5_audit_pass2.md;cc_instruction_mode_key_chord_inference_probe.md
DC-00025,5,restates,BR-3,D-013,code_comments,block_comment,src/notation/tests/pipeline_snapshot_tests/pipeline_snapshot_tests.cpp
DC-00026,4,boilerplate,BR-1,,cowork_docs,heading,cowork_layer4_chordsymbol_design.md;cowork_layer5_function_design.md;cowork_layer6_grouping_design.md;cowork_voiceleading_axis_design.md
DC-00027,4,boilerplate,BR-1,,cc_reports,heading;paragraph,cc_instruction_gate_r_verify_and_commit.md;cc_instruction_phase_e_rcb_bass_chord_tone_gate.md;cc_instruction_redesign_step2_predecessor_confidence.md;cc_instruction_stage4b_i_commit.md
DC-00028,4,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_layer3_error_decomposition.md;cc_instruction_layer3_sweep.md;cc_instruction_layer3_wiring.md;cc_instruction_layer3_wiring_code.md
DC-00029,4,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_bi_checkpoint.md;cc_instruction_push_doc_sync.md;cc_instruction_push_layer1_checkpoint.md;cc_instruction_push_layer2.md
DC-00030,4,boilerplate,BR-1,,cc_reports,table_row,cc_l1l3_delta_check_resync_report.md
DC-00031,3,boilerplate,BR-1,,cowork_docs,heading,cowork_layer1_note_model_design.md;cowork_layer2_slicing_design.md;cowork_layer3_keymode_design.md
DC-00032,3,boilerplate,BR-1,,cowork_docs,heading,cowork_layer4_chordsymbol_design.md;cowork_layer5_function_design.md;cowork_layer6_grouping_design.md
DC-00033,3,boilerplate,BR-1,,cowork_docs,heading,cowork_layer4_chordsymbol_design.md;cowork_layer5_function_design.md;cowork_layer6_grouping_design.md
DC-00034,3,not-a-decision,BR-9,,cc_reports;cowork_docs,paragraph,cc_instruction_wave3_addendum.md;cowork_voiceleading_axis_design.md
DC-00035,3,boilerplate,BR-1,,docs,heading,docs/stage4c_cadence_key_design.md;docs/stage4d_local_modulation_design.md;docs/stage6_functional_layer_design.md
DC-00036,3,not-a-decision,BR-9,,cc_reports;docs,paragraph,cc_instruction_housekeeping_e2d_pass2.md;docs/unified_analysis_pipeline.md
DC-00037,3,boilerplate,BR-1,,cc_reports,heading,cc_L6_corpus_oracle_report.md;cc_l1l4_review_report.md;cc_tpc_capability_verify_report.md
DC-00038,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_backfill_engravingbridge.md;cc_instruction_phase5_kmasks_complete.md;cc_instruction_phase5_kmasks_derive.md
DC-00039,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_backfill_formatter.md;cc_instruction_backfill_l3_keymode.md;cc_instruction_backfill_l4_oracle_gates.md
DC-00040,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_engage_c3_measurement.md;cc_instruction_engage_gateA_unification_design.md;cc_instruction_engage_information_loss_audit.md
DC-00041,3,boilerplate,BR-1,,cc_reports,heading,cc_instruction_baseline_reconciliation.md;cc_instruction_foundation_stage2a.md;cc_instruction_foundation_stage3a.md
DC-00042,3,restates,BR-3,D-119,cc_reports,bullet,cc_instruction_l3_audit_pass2.md;cc_instruction_l4_audit_pass2.md;cc_instruction_l5_audit_pass2.md
DC-00043,3,boilerplate,BR-1,,cc_reports,heading,cc_instruction_layer1_phase1a_build.md;cc_instruction_layer3_phase3_build.md;cc_instruction_spec_impl_delta_L1L4.md
DC-00044,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_phase5b_step2final_o2_inherit.md;cc_instruction_phase5b_step3_g6.md;cc_instruction_phase5b_step4_g4_spellingpin.md
DC-00045,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_design_pass_commit.md;cc_instruction_desk_sim_commit.md;cc_instruction_prefit_gates_commit.md
DC-00046,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_push_doc_sync.md;cc_instruction_push_layer1_checkpoint.md;cc_instruction_push_layer2.md
DC-00047,3,not-a-decision,BR-6,,cc_reports,bullet,cc_instruction_refactor_harmonicsegmenter_split.md;cc_instruction_refactor_keymodeanalyzer_split.md;cc_instruction_refactor_keyresolver_split.md
DC-00048,3,boilerplate,BR-1,,cc_reports,bullet,cc_instruction_refactor_harmonicsegmenter_split.md;cc_instruction_refactor_keymodeanalyzer_split.md;cc_instruction_refactor_keyresolver_split.md
DC-00049,3,boilerplate,BR-1,,cc_reports,heading,cc_instruction_metric_build_l0l1.md;cc_instruction_stage2_4_ratification.md;cc_instruction_stage3_1b_approval.md
DC-00050,3,boilerplate,BR-1,,cc_reports,table_row,cc_j_key_i_report.md;cc_j_key_ii_redux_report.md;cc_j_key_ii_report.md
DC-00051,3,boilerplate,BR-1,,cc_reports,heading,cc_j_key_i_report.md;cc_j_key_ii_redux_report.md;cc_j_key_ii_report.md
DC-00052,3,boilerplate,BR-1,,cc_reports,heading,cc_layer3_decoder_audit_dossier.md;cc_layer3_wiring_design_dossier.md;cc_layer4_audit_dossier.md
DC-00053,3,boilerplate,BR-1,,cc_reports,heading,cc_phase5c_step2_report.md;cc_phase5c_step3_report.md;cc_phase5c_step4_report.md
DC-00054,3,boilerplate,BR-1,,cc_reports,heading,cc_stage5_phase1_report.md;cc_stage5_phase2_1_report.md;cc_stage5_phase2_2a_report.md
DC-00055,3,not-a-decision,BR-13,,code_comments,code_comment,src/notation/tests/notationinteraction_harmony_pinning_tests.cpp
DC-00056,2,not-a-decision,BR-2,,cc_reports;governing,heading,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00057,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00058,2,restates,BR-3,D-063,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00059,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00060,2,restates,BR-3,D-063,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00061,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00062,2,not-a-decision,BR-2,,cc_reports;governing,heading,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00063,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00064,2,restates,BR-3,D-064,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00065,2,restates,BR-3,D-065,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00066,2,unresolved,BR-8,,cc_reports;governing,paragraph,ARCHITECTURE.md;cc_stage2_4_report.md
DC-00067,2,restates,BR-3,D-097;D-183,governing,bullet,ARCHITECTURE.md;STATUS_ARCHIVE.md
DC-00068,2,restates,BR-3,D-073;D-119;D-170;D-190,cc_reports;governing,paragraph,CLAUDE.md;cc_instruction_notation_consumption_audit.md
DC-00069,2,restates,BR-3,D-115;D-119,cowork_docs;governing,bullet;paragraph,CLAUDE.md;cowork_gate_policy_amendment.md
DC-00070,2,restates,BR-3,D-008;D-021;D-095;D-119;D-190;D-276,cc_reports;governing,paragraph,STATUS_ARCHIVE.md;cc_instruction_notation_consumption_audit.md
