cluster_id,signal,occurrences,distinct_texts,files,boilerplate_class,internally_divergent,divergence_triggers,min_pairwise_similarity,formed_by_chaining,proposed_representative_id,proposed_representative_file,proposed_representative_line,authority_reason,dates,ratified_by,member_ids,representative_text_excerpt_grouped_clusters_only_full_text_in_decision_candidates_json
DC-00001,1-text,230,1,230,,,,1.0,,DH-04764,open_items/OI-229.md,3,the open-items register,2026-07-10;2026-07-13;2026-07-28,user,DH-04303;DH-04305;DH-04308;DH-04310;DH-04314;DH-04317;DH-04320;DH-04323;DH-04325;DH-04327;DH-04330;DH-04333;DH-04336;DH-04339;DH-04342;DH-04345;DH-04348;DH-04351;DH-04354;DH-04357;DH-04360;DH-04363;DH-04366;DH-04369;DH-04371;DH-04374;DH-04376;DH-04379;DH-04381;DH-04383;DH-04385;DH-04387;DH-04389;DH-04391;DH-04393;DH-04395;DH-04397;DH-04398;DH-04400;DH-04402;DH-04404;DH-04406;DH-04408;DH-04410;DH-04411;DH-04412;DH-04416;DH-04418;DH-04421;DH-04424;DH-04427;DH-04430;DH-04433;DH-04436;DH-04439;DH-04442;DH-04445;DH-04447;DH-04449;DH-04451;DH-04453;DH-04455;DH-04457;DH-04459;DH-04461;DH-04464;DH-04466;DH-04468;DH-04471;DH-04474;DH-04477;DH-04480;DH-04483;DH-04485;DH-04488;DH-04491;DH-04494;DH-04497;DH-04500;DH-04502;DH-04505;DH-04509;DH-04512;DH-04515;DH-04519;DH-04523;DH-04526;DH-04530;DH-04532;DH-04534;DH-04537;DH-04542;DH-04546;DH-04552;DH-04554;DH-04556;DH-04558;DH-04560;DH-04562;DH-04564;DH-04566;DH-04568;DH-04570;DH-04572;DH-04574;DH-04576;DH-04578;DH-04580;DH-04582;DH-04584;DH-04586;DH-04590;DH-04592;DH-04595;DH-04597;DH-04599;DH-04602;DH-04610;DH-04616;DH-04623;DH-04641;DH-04649;DH-04655;DH-04659;DH-04662;DH-04673;DH-04676;DH-04679;DH-04683;DH-04688;DH-04696;DH-04699;DH-04702;DH-04705;DH-04707;DH-04709;DH-04713;DH-04716;DH-04719;DH-04721;DH-04728;DH-04737;DH-04745;DH-04754;DH-04764;DH-04770;DH-04774;DH-04782;DH-04784;DH-04787;DH-04789;DH-04793;DH-04796;DH-04798;DH-04800;DH-04802;DH-04804;DH-04807;DH-04810;DH-04812;DH-04813;DH-04814;DH-04815;DH-04817;DH-04818;DH-04820;DH-04822;DH-04825;DH-04828;DH-04831;DH-04834;DH-04836;DH-04837;DH-04839;DH-04841;DH-04842;DH-04845;DH-04848;DH-04850;DH-04852;DH-04854;DH-04856;DH-04859;DH-04862;DH-04864;DH-04868;DH-04870;DH-04872;DH-04875;DH-04877;DH-04880;DH-04881;DH-04885;DH-04888;DH-04891;DH-04894;DH-04897;DH-04900;DH-04902;DH-04905;DH-04908;DH-04910;DH-04912;DH-04913;DH-04914;DH-04917;DH-04919;DH-04920;DH-04921;DH-04924;DH-04926;DH-04927;DH-04928;DH-04929;DH-04932;DH-04934;DH-04937;DH-04939;DH-04942;DH-04944;DH-04947;DH-04949;DH-04952;DH-04955;DH-04959;DH-04962;DH-04963;DH-04965;DH-04967;DH-04969,> STATUS IS AUTHORITATIVE IN THE INDEX (OPEN_ITEMS.md) — this file carries narrative and provenance only and is NEVER the status of record
DC-00002,1-text,74,2,74,,,,0.9231,,DH-04475,open_items/OI-161.md,5,the open-items register,2026-06-21;2026-07-10;2026-07-11;2026-07-12;2026-07-13;2026-07-14;2026-07-16;2026-07-18;2026-07-19,cowork;user,DH-00329;DH-04306;DH-04311;DH-04315;DH-04318;DH-04321;DH-04324;DH-04326;DH-04328;DH-04331;DH-04334;DH-04337;DH-04340;DH-04343;DH-04346;DH-04349;DH-04352;DH-04355;DH-04358;DH-04361;DH-04364;DH-04367;DH-04370;DH-04372;DH-04375;DH-04377;DH-04394;DH-04413;DH-04431;DH-04434;DH-04437;DH-04440;DH-04443;DH-04446;DH-04469;DH-04475;DH-04478;DH-04481;DH-04484;DH-04486;DH-04489;DH-04492;DH-04495;DH-04498;DH-04501;DH-04503;DH-04506;DH-04510;DH-04513;DH-04516;DH-04520;DH-04535;DH-04538;DH-04543;DH-04547;DH-04553;DH-04567;DH-04593;DH-04660;DH-04708;DH-04857;DH-04922;DH-04930;DH-04935;DH-04940;DH-04945;DH-04948;DH-04953;DH-04956;DH-04960;DH-04964;DH-04966;DH-04968;DH-04970,**Section B — Owned by Stage-3 / E4 (build + design decisions at the engage step)**
DC-00003,1-text,50,1,50,document_scaffolding,,,1.0,,DH-07968,cc_instruction_l6_dormant_build.md,53,Claude Code session report or dispatch (a restatement by construction),,cowork,DH-06087;DH-06310;DH-06676;DH-06682;DH-06688;DH-06699;DH-06709;DH-06739;DH-06810;DH-06943;DH-07143;DH-07153;DH-07168;DH-07182;DH-07192;DH-07201;DH-07212;DH-07220;DH-07229;DH-07242;DH-07252;DH-07260;DH-07268;DH-07284;DH-07636;DH-07968;DH-08512;DH-09621;DH-09631;DH-09644;DH-09655;DH-09668;DH-09684;DH-09705;DH-09720;DH-09732;DH-09750;DH-09768;DH-09777;DH-09786;DH-09793;DH-09806;DH-09820;DH-09839;DH-09852;DH-09898;DH-09932;DH-09971;DH-09988;DH-10107,## Stop conditions
DC-00004,1-text,27,1,27,document_scaffolding,,,1.0,,DH-06408,cc_instruction_anchor_design_investigation.md,77,Claude Code session report or dispatch (a restatement by construction),,user,DH-06408;DH-06535;DH-06588;DH-06599;DH-06629;DH-06725;DH-07545;DH-07619;DH-08036;DH-08093;DH-08150;DH-08384;DH-08426;DH-08446;DH-08462;DH-09156;DH-09166;DH-09175;DH-09194;DH-09219;DH-09228;DH-09237;DH-09249;DH-09259;DH-09271;DH-09297;DH-10031,## §5 — Stop conditions
DC-00005,1-text,21,1,21,document_scaffolding,,,1.0,,DH-07486,cc_instruction_j_key_i.md,95,Claude Code session report or dispatch (a restatement by construction),,user,DH-07009;DH-07486;DH-07508;DH-07528;DH-08006;DH-08045;DH-08064;DH-08074;DH-08106;DH-08160;DH-08183;DH-08243;DH-08257;DH-08320;DH-08353;DH-08371;DH-09124;DH-09145;DH-09943;DH-09997;DH-10020,## §7 — Stop conditions
DC-00006,1-text,17,1,17,dispatch_instruction,,,1.0,,DH-06625,cc_instruction_batch_analyze_unification_audit.md,50,Claude Code session report or dispatch (a restatement by construction),,,DH-06625;DH-06729;DH-07014;DH-07761;DH-07770;DH-08079;DH-08228;DH-08802;DH-08811;DH-08822;DH-08856;DH-09947;DH-09958;DH-09975;DH-10001;DH-10007;DH-10034,- A push targets `upstream` → STOP.
DC-00007,1-text,16,1,16,document_scaffolding,,,1.0,,DH-07996,cc_instruction_layer1_coverage.md,55,Claude Code session report or dispatch (a restatement by construction),,user,DH-06521;DH-06973;DH-06995;DH-07341;DH-07593;DH-07988;DH-07996;DH-08127;DH-08211;DH-08276;DH-08302;DH-08340;DH-09115;DH-09135;DH-09209;DH-09955,## §6 — Stop conditions
DC-00008,1-text,15,2,15,,,,0.9091,,DH-04771,open_items/OI-23.md,5,the open-items register,2026-06-13;2026-07-19,,DH-00365;DH-04524;DH-04527;DH-04771;DH-04783;DH-04785;DH-04788;DH-04790;DH-04794;DH-04797;DH-04801;DH-04803;DH-04805;DH-04938;DH-04950,"**Section C — Owned by Stage-5 (precision phase — do NOT fix earlier, #8)**"
DC-00009,1-text,15,1,1,document_scaffolding,,,1.0,,DH-12751,cc_stage2a_wip_triage_report.md,223,Claude Code session report or dispatch (a restatement by construction),2026-06-14;2026-06-15,,DH-12715;DH-12717;DH-12719;DH-12722;DH-12725;DH-12727;DH-12729;DH-12732;DH-12743;DH-12745;DH-12748;DH-12751;DH-12754;DH-12757;DH-12759,| hunk (patch lines) | what | layer | intent | superseded? | class | rationale |
DC-00010,1-text,11,2,11,,,,0.9091,,DH-04906,open_items/OI-71.md,5,the open-items register,2026-06-10;2026-07-13,,DH-00445;DH-04865;DH-04876;DH-04882;DH-04886;DH-04889;DH-04892;DH-04895;DH-04898;DH-04903;DH-04906,"**Section H — Long-horizon roadmap (held deliberately; listed so they are never ""forgotten"")**"
