file,line,kind,func,context
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,74,if,collectVoiceLines,if (!isEligible(n)) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,78,if,collectVoiceLines,if (!ev.empty() && ev.back().onset == n.onset) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,106,if,collectMarkerTicks,if (!firstMeasure) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,113,if,collectMarkerTicks,if (a && (a->isFermata() || a->isTempoText())) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,123,if,collectMarkerTicks,if (e && e->isBreath()) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,134,if,collectMarkerTicks,if (score->nstaves() > 0 && score->staff(0)) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,141,if,collectMarkerTicks,if (e && e->isKeySig()) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,146,if,collectMarkerTicks,if (!ks) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,151,if,collectMarkerTicks,if (prevKey == std::numeric_limits<int>::min()) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,153,else-if,collectMarkerTicks,} else if (key != prevKey && tick > 0) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,164,if,collectMarkerTicks,if (bt == BarLineType::DOUBLE || bt == BarLineType::END
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,168,if,collectMarkerTicks,if (m->repeatStart()) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,178,if,collectMarkerTicks,if (!spanner || !spanner->isGradualTempoChange()) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,182,switch,collectMarkerTicks,switch (gtc->tempoChangeType()) {
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,183,case,collectMarkerTicks,case GradualTempoChangeType::Ritardando:
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,184,case,collectMarkerTicks,case GradualTempoChangeType::Rallentando:
