file,line,include,resolved,target_area
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,23,phraseboundaryview.h,phraseboundaryview.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,32,composing/analysis/notemodel/note_model.h,composing/analysis/notemodel/note_model.h,notemodel
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,33,composing/analysis/slicing/slicer.h,composing/analysis/slicing/slicer.h,slicing
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,35,engraving/dom/breath.h,engraving/dom/breath.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,36,engraving/dom/engravingitem.h,engraving/dom/engravingitem.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,37,engraving/dom/gradualtempochange.h,engraving/dom/gradualtempochange.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,38,engraving/dom/keysig.h,engraving/dom/keysig.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,39,engraving/dom/measure.h,engraving/dom/measure.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,40,engraving/dom/score.h,engraving/dom/score.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,41,engraving/dom/segment.h,engraving/dom/segment.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,42,engraving/dom/spanner.h,engraving/dom/spanner.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,43,engraving/dom/staff.h,engraving/dom/staff.h,external
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,44,engraving/types/types.h,engraving/types/types.h,types
src/composing/analysis/engravingbridge/regiontonecollector.cpp,23,regiontonecollector.h,regiontonecollector.h,external
src/composing/analysis/engravingbridge/regiontonecollector.cpp,30,engraving/dom/chord.h,engraving/dom/chord.h,external
src/composing/analysis/engravingbridge/regiontonecollector.cpp,31,engraving/dom/chordrest.h,engraving/dom/chordrest.h,external
src/composing/analysis/engravingbridge/regiontonecollector.cpp,32,engraving/dom/measure.h,engraving/dom/measure.h,external
src/composing/analysis/engravingbridge/regiontonecollector.cpp,33,engraving/dom/note.h,engraving/dom/note.h,external
src/composing/analysis/engravingbridge/regiontonecollector.cpp,34,engraving/dom/segment.h,engraving/dom/segment.h,external
src/composing/analysis/engravingbridge/regiontonecollector.cpp,35,engraving/dom/sig.h,engraving/dom/sig.h,external
src/composing/analysis/engravingbridge/regiontonecollector.cpp,37,composing/analysis/chord/analysisutils.h,composing/analysis/chord/analysisutils.h,chord
src/composing/analysis/engravingbridge/regiontonecollector.cpp,38,composing/analysis/scoreharvest/metricweights.h,composing/analysis/scoreharvest/metricweights.h,scoreharvest
src/composing/analysis/engravingbridge/regiontonecollector.h,52,composing/analysis/types/analysistypes.h,composing/analysis/types/analysistypes.h,types
src/composing/analysis/engravingbridge/regiontonecollector.h,53,composing/analysis/notemodel/note_model.h,composing/analysis/notemodel/note_model.h,notemodel
src/composing/analysis/engravingbridge/regiontonecollector.h,54,engraving/dom/part.h,engraving/dom/part.h,external
src/composing/analysis/engravingbridge/regiontonecollector.h,55,engraving/dom/score.h,engraving/dom/score.h,external
src/composing/analysis/engravingbridge/regiontonecollector.h,56,engraving/dom/staff.h,engraving/dom/staff.h,external
src/composing/analysis/engravingbridge/regiontonecollector.h,57,engraving/types/constants.h,engraving/types/constants.h,types
src/composing/analysis/engravingbridge/regiontonecollector.h,58,engraving/types/fraction.h,engraving/types/fraction.h,types
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,23,regiontonecollector.h,regiontonecollector.h,external
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,30,engraving/dom/chord.h,engraving/dom/chord.h,external
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,31,engraving/dom/chordrest.h,engraving/dom/chordrest.h,external
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,32,engraving/dom/measure.h,engraving/dom/measure.h,external
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,33,engraving/dom/note.h,engraving/dom/note.h,external
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,34,engraving/dom/segment.h,engraving/dom/segment.h,external
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,35,engraving/dom/sig.h,engraving/dom/sig.h,external
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,37,composing/analysis/chord/analysisutils.h,composing/analysis/chord/analysisutils.h,chord
