file,name,start_line,end_line
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,isEligible,61,64
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,collectVoiceLines,70,86
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,collectMarkerTicks,98,216
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,changeRatio,222,229
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,localChangeProfile,231,241
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,maxNormalizeInPlace,243,255
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,pickPeaks,257,281
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,computePhraseBoundaryProfile,285,459
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,phraseBoundaryTicks,461,464
src/composing/analysis/engravingbridge/regiontonecollector.cpp,weightedPcView,45,394
src/composing/analysis/engravingbridge/regiontonecollector.cpp,collectRegionTones,397,409
src/composing/analysis/engravingbridge/regiontonecollector.h,isChordTrackStaff,73,88
src/composing/analysis/engravingbridge/regiontonecollector.h,staffIsEligible,92,106
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,soundingAt,47,89
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,collectSoundingAt,91,99
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,buildTones,102,122
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,collectPitchContext,124,201
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,beatWeightForOnsetTick,210,214
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,pitchContextOverSpan,218,277
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,detectOnsetSubBoundaries,280,368
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,detectBassMovementSubBoundaries,371,449
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,findTemporalContext,452,592
src/composing/analysis/engravingbridge/spellingview.cpp,lineOfFifths,36,42
src/composing/analysis/engravingbridge/spellingview.cpp,sharpFlatSense,44,51
src/composing/analysis/engravingbridge/spellingview.cpp,spanSpelling,53,76
src/composing/analysis/notemodel/note_model.cpp,makeEvent,47,67
src/composing/analysis/notemodel/note_model.cpp,scoreSpan,75,86
src/composing/analysis/notemodel/note_model.cpp,build,89,97
src/composing/analysis/notemodel/note_model.cpp,build,99,116
src/composing/analysis/notemodel/note_model.cpp,rebuildForLoadedSpan,118,202
src/composing/analysis/notemodel/note_model.cpp,extend,204,237
src/composing/analysis/notemodel/note_model.cpp,build,241,270
src/composing/analysis/notemodel/note_model.cpp,onsetLowerBound,272,276
src/composing/analysis/notemodel/note_model.cpp,overlapIndices,278,284
src/composing/analysis/notemodel/note_model.cpp,collect,286,305
src/composing/analysis/notemodel/note_model.cpp,overlapping,307,325
src/composing/analysis/notemodel/note_model.cpp,onsetIn,327,342
src/composing/analysis/notemodel/note_model.h,score,196,196
src/composing/analysis/notemodel/note_model.h,notes,197,197
src/composing/analysis/notemodel/note_model.h,loadedStart,199,199
src/composing/analysis/notemodel/note_model.h,loadedEnd,200,200
src/composing/analysis/notemodel/note_model.h,selectionStart,201,201
src/composing/analysis/notemodel/note_model.h,selectionEnd,202,202
src/composing/analysis/notemodel/note_model.h,scoreStart,207,207
src/composing/analysis/notemodel/note_model.h,scoreEnd,208,208
src/composing/analysis/notemodel/note_model.h,boundaryReached,210,210
src/composing/analysis/scoreharvest/metricweights.cpp,beatTypeToWeight,39,53
src/composing/analysis/scoreharvest/metricweights.cpp,safeBeatType,55,71
src/composing/analysis/scoreharvest/metricweights.cpp,regionMetricWeightForBeatType,73,84
src/composing/analysis/scoreharvest/metricweights.cpp,beatTypeForOnsetTick,86,103
src/composing/analysis/scoreharvest/metricweights.cpp,regionMetricWeightForOnsetTick,105,108
src/composing/analysis/scoreharvest/metricweights.cpp,timeDecay,110,113
src/composing/analysis/scoreharvest/metricweights.cpp,distinctPitchClasses,115,128
src/composing/analysis/scoreharvest/metricweights.cpp,buildPedalWindowIndex,131,181
src/composing/analysis/slicing/slicer.cpp,changePointSlices,29,107
