=== ROW-BY-ROW (my verdict/flag vs pass1 verdict) ===
po|kind|file|line|MINE_verdict|MINE_flag|P1_verdict|P1_flagclass|match
1|crosslayer|phraseboundaryview.cpp|44|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
2|branch|note_model.cpp|330|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
3|branch|note_model.cpp|168|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
4|crosslayer|regiontonecollector.h|57|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
5|literal|phraseboundaryview.cpp|264|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
6|function|note_model.cpp|204|SURVIVES|FLAG-MINOR|SURVIVES|P1-CLEAN|DIFF
7|literal|regiontoneprimitives.cpp|356|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
8|branch|metricweights.cpp|173|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
9|branch|phraseboundaryview.cpp|435|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
10|branch|spellingview.cpp|38|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
11|crosslayer|regiontoneprimitives.cpp|33|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
12|literal|phraseboundaryview.cpp|249|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
13|crosslayer|regiontoneprimitives.cpp|35|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
14|function|regiontonecollector.h|92|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
15|literal|phraseboundaryview.h|91|UNFIT|FLAG-MINOR|UNFIT|P1-FLAG|AGREE
16|literal|metricweights.h|104|ESTABLISHED|CLEAN|UNFIT|P1-FLAG|DIFF
17|branch|phraseboundaryview.cpp|295|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
18|literal|regiontonecollector.cpp|317|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
19|branch|phraseboundaryview.cpp|141|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
20|function|note_model.cpp|89|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
21|crosslayer|metricweights.cpp|23|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
22|literal|slicer.cpp|59|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
23|field|spellingview.h|102|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
24|branch|regiontoneprimitives.cpp|510|SURVIVES|FLAG|SURVIVES-MIXED|P1-FLAG|AGREE
25|literal|note_model.cpp|268|ESTABLISHED|CLEAN|ESTABLISHED|P1-CLEAN|AGREE
26|literal|regiontonecollector.cpp|297|ESTABLISHED|CLEAN|ESTABLISHED/UNFIT|P1-FLAG|DIFF
27|crosslayer|note_model.cpp|31|LAYER-OK|CLEAN|FACT|P1-CLEAN|AGREE
28|branch|metricweights.cpp|142|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
29|field|phraseboundaryview.h|126|PUBLISHED|FLAG-MINOR|PUBLISHED|P1-CLEAN|DIFF
30|literal|metricweights.h|60|UNFIT|FLAG-MINOR|UNFIT|P1-FLAG|AGREE
31|branch|regiontonecollector.cpp|212|SURVIVES|CLEAN|SURVIVES|P1-CLEAN|AGREE
32|branch|metricweights.cpp|46|SURVIVES|CLEAN|SURVIVES-MIXED|P1-FLAG|DIFF
33|crosslayer|regiontoneprimitives.cpp|38|LAYER-UPWARD|FLAG|ASSUMPTION|P1-FLAG|AGREE
