file,line,type_owner,field_type,name,context
src/composing/analysis/key/keymodeanalyzer.h,107,KeyModeAnalysisResult,int,keySignatureFifths,"int keySignatureFifths = 0;          ///< Resolved key signature (-7..+7, Ionian convention)"
src/composing/analysis/key/keymodeanalyzer.h,108,KeyModeAnalysisResult,KeySigMode,mode,KeySigMode mode = KeySigMode::Ionian;      ///< Detected mode
src/composing/analysis/key/keymodeanalyzer.h,109,KeyModeAnalysisResult,int,tonicPc,"int tonicPc = 0;                     ///< Pitch class of the mode's tonic (0=C, 2=D, etc.)"
src/composing/analysis/key/keymodeanalyzer.h,110,KeyModeAnalysisResult,double,score,double score = 0.0;                  ///< Raw confidence score; higher is better
src/composing/analysis/key/keymodeanalyzer.h,111,KeyModeAnalysisResult,double,normalizedConfidence,"double normalizedConfidence = 0.0;   ///< [0,1] EMISSION SIGMOID (see §5.7). Role (confidence contract §3 / D-L3a): an INTERNAL gate input (the 0.8 KeyArea/cade"
src/composing/analysis/key/keymodeanalyzer.h,130,KeyCandidateScore,int,tonicPc,int tonicPc = 0;
src/composing/analysis/key/keymodeanalyzer.h,131,KeyCandidateScore,std::size_t,modeIndex,std::size_t modeIndex = 0;
src/composing/analysis/key/keymodeanalyzer.h,132,KeyCandidateScore,double,scaleMembership,double scaleMembership       = 0.0;  ///< scoreScaleMembership
src/composing/analysis/key/keymodeanalyzer.h,133,KeyCandidateScore,double,triadEvidence,double triadEvidence         = 0.0;  ///< scoreTriadEvidence (triad + complete-triad/missing-tonic + extra-scale)
src/composing/analysis/key/keymodeanalyzer.h,134,KeyCandidateScore,double,characteristicPitch,double characteristicPitch   = 0.0;  ///< scoreCharacteristicPitch
src/composing/analysis/key/keymodeanalyzer.h,135,KeyCandidateScore,double,trueLeadingTone,double trueLeadingTone       = 0.0;  ///< scoreTrueLeadingTone
src/composing/analysis/key/keymodeanalyzer.h,136,KeyCandidateScore,double,keySignatureProximity,double keySignatureProximity = 0.0;  ///< scoreKeySignatureProximity
src/composing/analysis/key/keymodeanalyzer.h,137,KeyCandidateScore,double,modePrior,double modePrior             = 0.0;  ///< scoreModePrior
src/composing/analysis/key/keymodeanalyzer.h,138,KeyCandidateScore,double,declaredPenalty,"double declaredPenalty       = 0.0;  ///< prefs.declaredModePenalty when mode incompatible with declared, else 0 (SUBTRACTED)"
src/composing/analysis/key/keymodeanalyzer.h,139,KeyCandidateScore,double,disambiguationDelta,double disambiguationDelta   = 0.0;  ///< post-hoc pairwise mutation applied to this candidate (signed)
src/composing/analysis/key/keymodeanalyzer.h,140,KeyCandidateScore,double,finalScore,double finalScore            = 0.0;  ///< eval.score after all adjustments (the ranking score)
src/composing/analysis/key/keymodeanalyzer.h,141,KeyCandidateScore,double,tonalCenterScore,double tonalCenterScore      = 0.0;  ///< family-selection tonal-centre comparison score
src/composing/analysis/key/keymodeanalyzer.h,142,KeyCandidateScore,double,tonicWeight,double tonicWeight           = 0.0;
src/composing/analysis/key/keymodeanalyzer.h,143,KeyCandidateScore,double,thirdWeight,double thirdWeight           = 0.0;
src/composing/analysis/key/keymodeanalyzer.h,144,KeyCandidateScore,double,fifthWeight,double fifthWeight           = 0.0;
src/composing/analysis/key/keymodeanalyzer.h,145,KeyCandidateScore,double,leadingToneWeight,double leadingToneWeight     = 0.0;
src/composing/analysis/key/keymodeanalyzer.h,146,KeyCandidateScore,bool,hasCompleteTriad,bool   hasCompleteTriad      = false;
src/composing/analysis/key/keymodesequence.h,116,KeyModeSequencePreferences,int,topK,int topK = 8;
src/composing/analysis/key/keymodesequence.h,125,KeyModeSequencePreferences,double,changeBaseCost,double changeBaseCost = kDefaultKeyModeAnalyzerPreferences.hysteresisMargin;
src/composing/analysis/key/keymodesequence.h,128,KeyModeSequencePreferences,double,changePerFifthStep,double changePerFifthStep = kDefaultKeyModeAnalyzerPreferences.keySignatureDistancePenalty;
src/composing/analysis/key/keymodesequence.h,131,KeyModeSequencePreferences,double,relativePairExtraCost,double relativePairExtraCost = kDefaultKeyModeAnalyzerPreferences.relativeKeyHysteresisMargin;
src/composing/analysis/key/keymodesequence.h,137,KeyModeSequencePreferences,double,windowBeats,double windowBeats = 4.0;
src/composing/analysis/key/keymodesequence.h,139,KeyModeSequencePreferences,double,decayRate,double decayRate = scoreharvest::DECAY_RATE;
src/composing/analysis/key/keymodesequence.h,141,KeyModeSequencePreferences,double,lookaheadWeight,double lookaheadWeight = scoreharvest::LOOKAHEAD_WEIGHT;
src/composing/analysis/key/keymodesequence.h,143,KeyModeSequencePreferences,double,beatsPerDecayUnit,double beatsPerDecayUnit = 4.0;
src/composing/analysis/key/keymodesequence.h,147,KeyModeSequencePreferences,double,uncertainThreshold,double uncertainThreshold = 1.0;
src/composing/analysis/key/keymodesequence.h,151,KeyModeSequencePreferences,int,maxAlternatives,int maxAlternatives = 4;
src/composing/analysis/key/keymodesequence.h,159,SliceKeyMode,int,sliceIndex,int sliceIndex = 0;                                   ///< index into the slice vector
src/composing/analysis/key/keymodesequence.h,160,SliceKeyMode,KeyModeAnalysisResult,chosen,KeyModeAnalysisResult chosen;                         ///< the decided key/mode
src/composing/analysis/key/keymodesequence.h,161,SliceKeyMode,std::vector<KeyModeAnalysisResult>,alternatives,"std::vector<KeyModeAnalysisResult> alternatives;      ///< other surviving candidates, ranked"
src/composing/analysis/key/keymodesequence.h,162,SliceKeyMode,double,confidence,double confidence = 0.0;                              ///< sequence margin (best vs best-different-key/mode)
src/composing/analysis/key/keymodesequence.h,163,SliceKeyMode,bool,uncertain,bool uncertain = false;                               ///< confidence < uncertainThreshold
src/composing/analysis/key/keymodesequence.h,175,State,int,tonicPc,int tonicPc = 0;
src/composing/analysis/key/keymodesequence.h,176,State,KeySigMode,mode,KeySigMode mode = KeySigMode::Ionian;
src/composing/analysis/key/keymodesequence.h,177,State,int,keySignatureFifths,int keySignatureFifths = 0;
src/composing/analysis/key/keymodesequence.h,178,State,int,ionianPc,int ionianPc = 0;
src/composing/analysis/key/keyresolver.h,71,KeyResolveDump,int,notatedFifths,int notatedFifths   = 0;          ///< key signature fifths read at the tick (pre-correction)
src/composing/analysis/key/keyresolver.h,72,KeyResolveDump,int,correctedFifths,int correctedFifths = 0;          ///< after partialSignatureCorrection
src/composing/analysis/key/keyresolver.h,73,KeyResolveDump,int,declaredModeOrdinal,"int declaredModeOrdinal = -1;     ///< KeySigMode ordinal of the declared mode, or -1 if none"
src/composing/analysis/key/keyresolver.h,74,KeyResolveDump,const char*,pathTaken,"const char* pathTaken = ""normal""; ///< ""fallback"" | ""normal"" (""anchor"" removed in 4b-i)"
src/composing/analysis/key/keyresolver.h,75,KeyResolveDump,int,lookaheadBeatsUsed,int lookaheadBeatsUsed = 0;       ///< window beats at the final analyzeKeyMode call
src/composing/analysis/key/keyresolver.h,76,KeyResolveDump,bool,hysteresisPromoted,bool hysteresisPromoted   = false; ///< the hysteresis block reordered the winner
src/composing/analysis/key/keyresolver.h,77,KeyResolveDump,bool,strongPriorPromoted,bool strongPriorPromoted  = false; ///< always false since 4b-i (strong declared-mode prior removed; field kept for dump-format stability)
src/composing/analysis/key/keyresolver.h,78,KeyResolveDump,std::vector<mu::composing::analysis::KeyCandidateScore>,candidates,std::vector<mu::composing::analysis::KeyCandidateScore> candidates; ///< emission breakdown (empty on anchor/fallback)
src/composing/analysis/key/keyresolver.h,96,KeySignatureContext,int,notatedFifths,int notatedFifths   = 0;
src/composing/analysis/key/keyresolver.h,97,KeySignatureContext,int,correctedFifths,int correctedFifths = 0;
src/composing/analysis/key/keyresolver.h,98,KeySignatureContext,std::optional<mu::composing::analysis::KeySigMode>,declaredMode,std::optional<mu::composing::analysis::KeySigMode> declaredMode;
src/composing/analysis/key/modepriorpresets.h,42,ModePriorPreset,std::string,name,"std::string name;               ///< Display name (e.g. ""Standard"", ""Jazz"")"
src/composing/analysis/key/modepriorpresets.h,45,ModePriorPreset,double,ionian,double ionian          =  1.20;
src/composing/analysis/key/modepriorpresets.h,46,ModePriorPreset,double,dorian,double dorian          = -0.50;
src/composing/analysis/key/modepriorpresets.h,47,ModePriorPreset,double,phrygian,double phrygian        = -1.50;
src/composing/analysis/key/modepriorpresets.h,48,ModePriorPreset,double,lydian,double lydian          = -1.50;
