process_order,file,line,kind,ident,my_verdict,pass1_verdict,pass1_class,raw_agree,concordance
1,src/composing/analysis/key/keymodeanalyzer.cpp,598,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
2,src/composing/analysis/key/keymodesequence.cpp,206,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
3,src/composing/analysis/key/keyresolver.cpp,227,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
4,src/composing/analysis/region/regionanalyzer.cpp,419,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
5,src/composing/analysis/region/regionanalyzer.cpp,699,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
6,src/composing/analysis/region/regionanalyzer.cpp,1010,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
7,src/composing/analysis/section/jointkeydecision.cpp,255,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
8,src/composing/analysis/section/sectionanalyzer.cpp,246,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
9,src/composing/analysis/section/sectionanalyzer.cpp,320,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
10,src/composing/analysis/section/sectionanalyzer.cpp,470,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
11,src/composing/analysis/section/sectionanalyzer.cpp,706,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
12,src/composing/analysis/section/sectioncadencedetection.cpp,175,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
13,src/composing/analysis/section/sectioncadencedetection.cpp,246,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
14,src/composing/analysis/section/localmodulationdetector.cpp,25,crosslayer,composing/analysis/chord/analysisutils.h,SURVIVES,BACK-EDGE-NOTE,cross,False,CONCORDANT
15,src/composing/analysis/section/sectioncadencedetection.cpp,41,crosslayer,composing/analysis/region/sparsechordrefinement.h,SURVIVES,FORWARD-OK,cross,False,CONCORDANT
16,src/composing/analysis/key/keyresolver.h,97,field,correctedFifths,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
17,src/composing/analysis/key/modepriorpresets.h,59,field,aeolianB5,ESTABLISHED,NO-ISSUE,no-issue,False,CONCORDANT
18,src/composing/analysis/region/harmonicrhythm.h,84,field,keyModeResult,PUBLISHED,PUBLISHED,derived-fact,True,CONCORDANT
19,src/composing/analysis/types/analysistypes.h,602,field,scaleScoreInKeySigOnly,ESTABLISHED,UNFIT,constant,False,CONCORDANT
20,src/composing/analysis/types/analysistypes.h,617,field,missingTonicPenalty,ESTABLISHED,UNFIT,constant,False,CONCORDANT
21,src/composing/analysis/key/keymodesequence.cpp,94,function,stateToResult,SURVIVES,SURVIVES,code,True,CONCORDANT
22,src/composing/analysis/key/keymodeanalyzer.cpp,61,literal,8,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
23,src/composing/analysis/key/keymodeanalyzer.cpp,327,literal,12,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
24,src/composing/analysis/key/keymodeanalyzer.cpp,386,literal,4,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
25,src/composing/analysis/key/keymodeanalyzer.cpp,395,literal,12,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
26,src/composing/analysis/key/keymodeanalyzer.h,87,literal,4,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
27,src/composing/analysis/key/keymodeanalyzer.h,133,literal,0.0,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
28,src/composing/analysis/key/keymodeanalyzer.h,134,literal,0.0,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
29,src/composing/analysis/key/modepriorpresets.cpp,67,literal,0.50,ESTABLISHED,UNFIT,constant,False,CONCORDANT
30,src/composing/analysis/key/modepriorpresets.cpp,86,literal,2.50,ESTABLISHED,UNFIT,constant,False,CONCORDANT
31,src/composing/analysis/key/modepriorpresets.cpp,98,literal,1.50,ESTABLISHED,UNFIT,constant,False,CONCORDANT
32,src/composing/analysis/key/modepriorpresets.cpp,121,literal,2.00,ESTABLISHED,UNFIT,constant,False,CONCORDANT
33,src/composing/analysis/key/modepriorpresets.cpp,125,literal,0.20,ESTABLISHED,UNFIT,constant,False,CONCORDANT
34,src/composing/analysis/region/regionanalyzer.cpp,453,literal,12,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
35,src/composing/analysis/section/jointkeydecision.cpp,87,literal,9,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
36,src/composing/analysis/types/analysistypes.h,436,literal,0.0,ESTABLISHED,DEFERRED,deferred,False,CONCORDANT
37,src/composing/analysis/types/analysistypes.h,442,literal,1.0,ESTABLISHED,DEFERRED,deferred,False,CONCORDANT
38,src/composing/analysis/types/analysistypes.h,443,literal,1.0,ESTABLISHED,DEFERRED,deferred,False,CONCORDANT
39,src/composing/analysis/types/analysistypes.h,823,literal,0.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
40,src/composing/analysis/types/analysistypes.h,831,literal,0.5,ESTABLISHED,UNFIT,constant,False,CONCORDANT
