process_order,file,line,kind,ident,my_verdict,pass1_verdict,pass1_class,raw_agree,concordance
1,src/composing/analysis/key/modepriorpresets.h,42,field,name,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
2,src/composing/analysis/key/keymodeanalyzer.cpp,148,literal,3,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
3,src/composing/analysis/section/jointkeydecision.cpp,86,literal,7,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
4,src/composing/analysis/key/keymodeanalyzer.h,141,literal,0.0,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
5,src/composing/analysis/section/sectionanalyzer.cpp,52,crosslayer,composing/analysis/chord/analysisutils.h,SURVIVES,MIXED-DEFERRED,cross,False,CONCORDANT
6,src/composing/analysis/types/analysistypes.h,833,literal,0.0,ESTABLISHED,UNFIT,constant,False,CONCORDANT
7,src/composing/analysis/section/sectionanalyzer.cpp,589,branch,ternary,SURVIVES,NO-ISSUE,code,False,CONCORDANT
8,src/composing/analysis/key/keyresolver.h,97,field,correctedFifths,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
9,src/composing/analysis/section/jointkeydecision.h,169,field,jointTonicPc,PUBLISHED,NO-ISSUE,no-issue,False,CONCORDANT
10,src/composing/analysis/key/keymodesequence.h,161,field,alternatives,PUBLISHED,PUBLISHED,derived-fact,True,CONCORDANT
11,src/composing/analysis/key/keymodeanalyzer.h,66,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
12,src/composing/analysis/section/jointkeydecision.cpp,80,literal,4,ESTABLISHED,ESTABLISHED,constant,True,CONCORDANT
13,src/composing/analysis/key/keymodesequence.cpp,380,branch,ternary,SURVIVES,NO-ISSUE,code,False,CONCORDANT
14,src/composing/analysis/section/localmodulationdetector.cpp,65,function,lmdOutOfCollectionCount,SURVIVES,SURVIVES,code,True,CONCORDANT
15,src/composing/analysis/key/keymodeanalyzer.cpp,288,branch,else-if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
16,src/composing/analysis/key/keymodeanalyzer.cpp,588,literal,0.0,DEAD,ESTABLISHED,constant,False,SUBSTANTIVE
17,src/composing/analysis/key/keymodeanalyzer.cpp,181,branch,case,SURVIVES,NO-ISSUE,code,False,CONCORDANT
18,src/composing/analysis/region/regionanalyzer.cpp,249,branch,if,SURVIVES,NO-ISSUE,code,False,CONCORDANT
19,src/composing/analysis/types/analysistypes.h,429,literal,1.0,ESTABLISHED,DEFERRED,deferred,False,CONCORDANT
