process_order,row_id,kind,label,axis,my_fine,pass1_verdict,bucket,manifest_covered,coverage_note,reason_code
1,field|src/composing/analysis/key/modepriorpresets.h|42|1588,field,ModePriorPreset::name,derived,PUBLISHED,NO-ISSUE,CONCORDANT,,,PUB_CONSUMER
2,literal|src/composing/analysis/key/keymodeanalyzer.cpp|148|257,literal,3 in ionianTonicPcForMode,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_THEORY
3,literal|src/composing/analysis/section/jointkeydecision.cpp|86|714,literal,7 in <file-scope>,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_THEORY
4,literal|src/composing/analysis/key/keymodeanalyzer.h|141|421,literal,0.0 in <file-scope>,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_MECH
5,crosslayer|src/composing/analysis/section/sectionanalyzer.cpp|52|1927,crosslayer,include composing/analysis/chord/analysisutils.h -> chord,code,SURVIVES,MIXED-DEFERRED,CONCORDANT,,,CODE_LIVE
6,literal|src/composing/analysis/types/analysistypes.h|833|934,literal,0.0 in bounds,constants,ESTABLISHED,UNFIT,GENUINE-DISAGREEMENT,,,STRUCT_BOUND
7,branch|src/composing/analysis/section/sectionanalyzer.cpp|589|1496,branch,ternary in analyzeSection,code,SURVIVES,NO-ISSUE,CONCORDANT,,,CODE_LIVE
8,field|src/composing/analysis/key/keyresolver.h|97|1586,field,KeySignatureContext::correctedFifths,derived,PUBLISHED,NO-ISSUE,CONCORDANT,,,PUB_CONSUMER
9,field|src/composing/analysis/section/jointkeydecision.h|169|1689,field,JointKeyDecision::jointTonicPc,derived,PUBLISHED,NO-ISSUE,CONCORDANT,,,PUB_CONSUMER
10,field|src/composing/analysis/key/keymodesequence.h|161|1570,field,SliceKeyMode::alternatives,derived,PUBLISHED,PUBLISHED,CONCORDANT,,,PUB_CONSUMER
11,branch|src/composing/analysis/key/keymodeanalyzer.h|66|1128,branch,case in keyModeIsMajor,code,SURVIVES,NO-ISSUE,CONCORDANT,,,CODE_LIVE
12,literal|src/composing/analysis/section/jointkeydecision.cpp|80|692,literal,4 in <file-scope>,constants,ESTABLISHED,ESTABLISHED,CONCORDANT,,,STRUCT_THEORY
13,branch|src/composing/analysis/key/keymodesequence.cpp|380|1208,branch,ternary in decodeLattice,code,SURVIVES,NO-ISSUE,CONCORDANT,,,CODE_LIVE
14,function|src/composing/analysis/section/localmodulationdetector.cpp|65|66,function,lmdOutOfCollectionCount(),code,SURVIVES,SURVIVES,CONCORDANT,,,CODE_LIVE
15,branch|src/composing/analysis/key/keymodeanalyzer.cpp|288|1057,branch,else-if in scoreTriadEvidence,code,SURVIVES,NO-ISSUE,CONCORDANT,,,CODE_LIVE
16,literal|src/composing/analysis/key/keymodeanalyzer.cpp|588|367,literal,0.0 in analyzeKeyMode,constants,DEAD,ESTABLISHED,GENUINE-DISAGREEMENT,,,DEAD_VESTIGIAL
17,branch|src/composing/analysis/key/keymodeanalyzer.cpp|181|1046,branch,case in possibleIonianFifthsForPc,code,SURVIVES,NO-ISSUE,CONCORDANT,,,CODE_LIVE
