file,line,kind,func,context
src/composing/analysis/chord/analysisutils.h,48,switch,ionianTonicPcFromFifths,switch (fifths) {
src/composing/analysis/chord/analysisutils.h,49,case,ionianTonicPcFromFifths,case -7: return 11; // Cb
src/composing/analysis/chord/analysisutils.h,50,case,ionianTonicPcFromFifths,case -6: return 6;  // Gb
src/composing/analysis/chord/analysisutils.h,51,case,ionianTonicPcFromFifths,case -5: return 1;  // Db
src/composing/analysis/chord/analysisutils.h,52,case,ionianTonicPcFromFifths,case -4: return 8;  // Ab
src/composing/analysis/chord/analysisutils.h,53,case,ionianTonicPcFromFifths,case -3: return 3;  // Eb
src/composing/analysis/chord/analysisutils.h,54,case,ionianTonicPcFromFifths,case -2: return 10; // Bb
src/composing/analysis/chord/analysisutils.h,55,case,ionianTonicPcFromFifths,case -1: return 5;  // F
src/composing/analysis/chord/analysisutils.h,56,case,ionianTonicPcFromFifths,case 0:  return 0;  // C
src/composing/analysis/chord/analysisutils.h,57,case,ionianTonicPcFromFifths,case 1:  return 7;  // G
src/composing/analysis/chord/analysisutils.h,58,case,ionianTonicPcFromFifths,case 2:  return 2;  // D
src/composing/analysis/chord/analysisutils.h,59,case,ionianTonicPcFromFifths,case 3:  return 9;  // A
src/composing/analysis/chord/analysisutils.h,60,case,ionianTonicPcFromFifths,case 4:  return 4;  // E
src/composing/analysis/chord/analysisutils.h,61,case,ionianTonicPcFromFifths,case 5:  return 11; // B
src/composing/analysis/chord/analysisutils.h,62,case,ionianTonicPcFromFifths,case 6:  return 6;  // F#
src/composing/analysis/chord/analysisutils.h,63,case,ionianTonicPcFromFifths,case 7:  return 1;  // C#
src/composing/analysis/chord/analysisutils.h,72,ternary,normalizePc,return pc < 0 ? pc + 12 : pc;
src/composing/analysis/chord/analysisutils.h,108,if,collectionMask,if (isMajor) {
src/composing/analysis/chord/chordanalyzer.cpp,202,switch,categorizeExtraNote,switch (quality) {
src/composing/analysis/chord/chordanalyzer.cpp,203,case,categorizeExtraNote,case ChordQuality::Minor:
src/composing/analysis/chord/chordanalyzer.cpp,204,if,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not minor
src/composing/analysis/chord/chordanalyzer.cpp,206,case,categorizeExtraNote,case ChordQuality::Suspended4:
src/composing/analysis/chord/chordanalyzer.cpp,207,if,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not sus4
src/composing/analysis/chord/chordanalyzer.cpp,210,case,categorizeExtraNote,case ChordQuality::Suspended2:
src/composing/analysis/chord/chordanalyzer.cpp,211,if,categorizeExtraNote,if (rel == 3)  return ExtraNoteCategory::Contradiction; // m3  → not sus2
src/composing/analysis/chord/chordanalyzer.cpp,212,if,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not sus2
src/composing/analysis/chord/chordanalyzer.cpp,214,case,categorizeExtraNote,case ChordQuality::Diminished:
src/composing/analysis/chord/chordanalyzer.cpp,215,if,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not diminished
src/composing/analysis/chord/chordanalyzer.cpp,216,if,categorizeExtraNote,if (rel == 7)  return ExtraNoteCategory::Contradiction; // P5  → not diminished (requires ♭5) // BUG-10
src/composing/analysis/chord/chordanalyzer.cpp,217,if,categorizeExtraNote,if (rel == 10) return ExtraNoteCategory::Contradiction; // m7  → half-diminished
src/composing/analysis/chord/chordanalyzer.cpp,218,if,categorizeExtraNote,if (rel == 11) return ExtraNoteCategory::Contradiction; // M7  → not diminished
src/composing/analysis/chord/chordanalyzer.cpp,220,case,categorizeExtraNote,case ChordQuality::HalfDiminished:
src/composing/analysis/chord/chordanalyzer.cpp,221,if,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not half-dim
src/composing/analysis/chord/chordanalyzer.cpp,222,if,categorizeExtraNote,if (rel == 9)  return ExtraNoteCategory::Contradiction; // dim7 → fully diminished
src/composing/analysis/chord/chordanalyzer.cpp,223,if,categorizeExtraNote,if (rel == 11) return ExtraNoteCategory::Contradiction; // M7  → not half-dim
src/composing/analysis/chord/chordanalyzer.cpp,230,switch,categorizeExtraNote,switch (rel) {
src/composing/analysis/chord/chordanalyzer.cpp,231,case,categorizeExtraNote,case 1:  // b9
src/composing/analysis/chord/chordanalyzer.cpp,232,case,categorizeExtraNote,case 2:  // 9
src/composing/analysis/chord/chordanalyzer.cpp,233,case,categorizeExtraNote,case 3:  // #9 (dual-use with minor 3rd; context overrides handled in caller)
src/composing/analysis/chord/chordanalyzer.cpp,234,case,categorizeExtraNote,case 5:  // 11
src/composing/analysis/chord/chordanalyzer.cpp,235,case,categorizeExtraNote,case 6:  // #11 / b5
src/composing/analysis/chord/chordanalyzer.cpp,236,case,categorizeExtraNote,case 8:  // b13 / #5
src/composing/analysis/chord/chordanalyzer.cpp,237,case,categorizeExtraNote,case 9:  // 13 / 6
src/composing/analysis/chord/chordanalyzer.cpp,238,case,categorizeExtraNote,case 10: // minor 7
src/composing/analysis/chord/chordanalyzer.cpp,239,case,categorizeExtraNote,case 11: // major 7
src/composing/analysis/chord/chordanalyzer.cpp,389,if,extensionBits,"if (ext.hasMinorSeventh)      setExtension(e, Extension::MinorSeventh);"
src/composing/analysis/chord/chordanalyzer.cpp,390,if,extensionBits,"if (ext.hasMajorSeventh)      setExtension(e, Extension::MajorSeventh);"
src/composing/analysis/chord/chordanalyzer.cpp,391,if,extensionBits,"if (ext.hasDiminishedSeventh) setExtension(e, Extension::DiminishedSeventh);"
src/composing/analysis/chord/chordanalyzer.cpp,392,if,extensionBits,"if (ext.hasAddedSixth)        setExtension(e, Extension::AddedSixth);"
src/composing/analysis/chord/chordanalyzer.cpp,393,if,extensionBits,"if (ext.hasNinthNatural)      setExtension(e, Extension::NaturalNinth);"
src/composing/analysis/chord/chordanalyzer.cpp,394,if,extensionBits,"if (ext.hasNinthFlat)         setExtension(e, Extension::FlatNinth);"
src/composing/analysis/chord/chordanalyzer.cpp,395,if,extensionBits,"if (ext.hasNinthSharp)        setExtension(e, Extension::SharpNinth);"
src/composing/analysis/chord/chordanalyzer.cpp,396,if,extensionBits,"if (ext.hasEleventh)          setExtension(e, Extension::NaturalEleventh);"
src/composing/analysis/chord/chordanalyzer.cpp,397,if,extensionBits,"if (ext.hasEleventhSharp)     setExtension(e, Extension::SharpEleventh);"
src/composing/analysis/chord/chordanalyzer.cpp,398,if,extensionBits,"if (ext.hasThirteenth)        setExtension(e, Extension::NaturalThirteenth);"
src/composing/analysis/chord/chordanalyzer.cpp,399,if,extensionBits,"if (ext.hasThirteenthFlat)    setExtension(e, Extension::FlatThirteenth);"
src/composing/analysis/chord/chordanalyzer.cpp,400,if,extensionBits,"if (ext.hasThirteenthSharp)   setExtension(e, Extension::SharpThirteenth);"
src/composing/analysis/chord/chordanalyzer.cpp,401,if,extensionBits,"if (ext.hasSharpFifth)        setExtension(e, Extension::SharpFifth);"
src/composing/analysis/chord/chordanalyzer.cpp,402,if,extensionBits,"if (ext.hasFlatFifth)         setExtension(e, Extension::FlatFifth);"
src/composing/analysis/chord/chordanalyzer.cpp,403,if,extensionBits,"if (ext.isSixNine)            setExtension(e, Extension::SixNine);"
src/composing/analysis/chord/chordanalyzer.cpp,404,if,extensionBits,"if (omitsThird)               setExtension(e, Extension::OmitsThird);"
src/composing/analysis/chord/chordanalyzer.cpp,434,if,templateIntervalsVec,if (interval >= 0) {
src/composing/analysis/chord/chordanalyzer.cpp,455,ternary,scoreTemplateTones,const double factor = (i == 0) ? kRootToneFactor
src/composing/analysis/chord/chordanalyzer.cpp,456,ternary,scoreTemplateTones,: (i == 1) ? kSecondToneFactor
src/composing/analysis/chord/chordanalyzer.cpp,485,if,scoreExtraNotes,if (w < 0.01) {
src/composing/analysis/chord/chordanalyzer.cpp,491,if,scoreExtraNotes,if (((rootPc + interval) % 12) == pc) { inTemplate = true; break; }
src/composing/analysis/chord/chordanalyzer.cpp,493,if,scoreExtraNotes,if (inTemplate) {
src/composing/analysis/chord/chordanalyzer.cpp,501,if,scoreExtraNotes,if (tpl.quality == ChordQuality::Major && rel == 3) {
