file,line,include,resolved,target_area
src/composing/analysis/chord/chordanalyzer.cpp,23,chordanalyzer.h,chordanalyzer.h,external
src/composing/analysis/chord/chordanalyzer.cpp,24,analysisutils.h,analysisutils.h,external
src/composing/analysis/chord/chordanalyzer.cpp,25,composing/analysis/function/harmonicfunctionlayer.h,composing/analysis/function/harmonicfunctionlayer.h,function
src/composing/analysis/chord/chordanalyzer.cpp,26,../param/paramoverride.h,src/composing/analysis/param/paramoverride.h,param
src/composing/analysis/chord/chordanalyzer.h,34,analysisutils.h,analysisutils.h,external
src/composing/analysis/chord/chordanalyzer.h,35,../key/keymodeanalyzer.h,src/composing/analysis/key/keymodeanalyzer.h,key
src/composing/analysis/chord/chordanalyzer.h,36,../types/analysistypes.h,src/composing/analysis/types/analysistypes.h,types
src/composing/analysis/chord/chordslicedecoder.cpp,23,chordslicedecoder.h,chordslicedecoder.h,external
src/composing/analysis/chord/chordslicedecoder.cpp,30,function/harmonicfunctionlayer.h,function/harmonicfunctionlayer.h,function
src/composing/analysis/chord/chordslicedecoder.cpp,31,composing/analysis/engravingbridge/regiontonecollector.h,composing/analysis/engravingbridge/regiontonecollector.h,engravingbridge
src/composing/analysis/chord/chordslicedecoder.cpp,32,composing/analysis/engravingbridge/spellingview.h,composing/analysis/engravingbridge/spellingview.h,engravingbridge
src/composing/analysis/chord/chordslicedecoder.cpp,33,composing/analysis/scoreharvest/metricweights.h,composing/analysis/scoreharvest/metricweights.h,scoreharvest
src/composing/analysis/chord/chordslicedecoder.h,146,chordanalyzer.h,chordanalyzer.h,external
src/composing/analysis/chord/chordslicedecoder.h,147,composing/analysis/notemodel/note_model.h,composing/analysis/notemodel/note_model.h,notemodel
src/composing/analysis/chord/chordslicedecoder.h,148,composing/analysis/slicing/slicer.h,composing/analysis/slicing/slicer.h,slicing
src/composing/analysis/chord/chordsymbolformatter.cpp,23,chordanalyzer.h,chordanalyzer.h,external
src/composing/analysis/chord/chordsymbolformatter.cpp,24,analysisutils.h,analysisutils.h,external
src/composing/analysis/decode/chordpathdecoder.h,59,composing/analysis/chord/chordanalyzer.h,composing/analysis/chord/chordanalyzer.h,chord
src/composing/analysis/region/sparsechordrefinement.cpp,23,sparsechordrefinement.h,sparsechordrefinement.h,external
src/composing/analysis/region/sparsechordrefinement.cpp,28,composing/analysis/chord/analysisutils.h,composing/analysis/chord/analysisutils.h,chord
src/composing/analysis/region/sparsechordrefinement.h,35,composing/analysis/chord/chordanalyzer.h,composing/analysis/chord/chordanalyzer.h,chord
src/composing/analysis/region/sparsechordrefinement.h,36,composing/analysis/key/keymodeanalyzer.h,composing/analysis/key/keymodeanalyzer.h,key
