file,line,value,func,context
src/composing/analysis/chord/analysisutils.h,49,7,ionianTonicPcFromFifths,case -7: return 11; // Cb
src/composing/analysis/chord/analysisutils.h,49,11,ionianTonicPcFromFifths,case -7: return 11; // Cb
src/composing/analysis/chord/analysisutils.h,50,6,ionianTonicPcFromFifths,case -6: return 6;  // Gb
src/composing/analysis/chord/analysisutils.h,50,6,ionianTonicPcFromFifths,case -6: return 6;  // Gb
src/composing/analysis/chord/analysisutils.h,51,5,ionianTonicPcFromFifths,case -5: return 1;  // Db
src/composing/analysis/chord/analysisutils.h,52,4,ionianTonicPcFromFifths,case -4: return 8;  // Ab
src/composing/analysis/chord/analysisutils.h,52,8,ionianTonicPcFromFifths,case -4: return 8;  // Ab
src/composing/analysis/chord/analysisutils.h,53,3,ionianTonicPcFromFifths,case -3: return 3;  // Eb
src/composing/analysis/chord/analysisutils.h,53,3,ionianTonicPcFromFifths,case -3: return 3;  // Eb
src/composing/analysis/chord/analysisutils.h,54,2,ionianTonicPcFromFifths,case -2: return 10; // Bb
src/composing/analysis/chord/analysisutils.h,54,10,ionianTonicPcFromFifths,case -2: return 10; // Bb
src/composing/analysis/chord/analysisutils.h,55,5,ionianTonicPcFromFifths,case -1: return 5;  // F
src/composing/analysis/chord/analysisutils.h,57,7,ionianTonicPcFromFifths,case 1:  return 7;  // G
src/composing/analysis/chord/analysisutils.h,58,2,ionianTonicPcFromFifths,case 2:  return 2;  // D
src/composing/analysis/chord/analysisutils.h,58,2,ionianTonicPcFromFifths,case 2:  return 2;  // D
src/composing/analysis/chord/analysisutils.h,59,3,ionianTonicPcFromFifths,case 3:  return 9;  // A
src/composing/analysis/chord/analysisutils.h,59,9,ionianTonicPcFromFifths,case 3:  return 9;  // A
src/composing/analysis/chord/analysisutils.h,60,4,ionianTonicPcFromFifths,case 4:  return 4;  // E
src/composing/analysis/chord/analysisutils.h,60,4,ionianTonicPcFromFifths,case 4:  return 4;  // E
src/composing/analysis/chord/analysisutils.h,61,5,ionianTonicPcFromFifths,case 5:  return 11; // B
src/composing/analysis/chord/analysisutils.h,61,11,ionianTonicPcFromFifths,case 5:  return 11; // B
src/composing/analysis/chord/analysisutils.h,62,6,ionianTonicPcFromFifths,case 6:  return 6;  // F#
src/composing/analysis/chord/analysisutils.h,62,6,ionianTonicPcFromFifths,case 6:  return 6;  // F#
src/composing/analysis/chord/analysisutils.h,63,7,ionianTonicPcFromFifths,case 7:  return 1;  // C#
src/composing/analysis/chord/analysisutils.h,71,12,normalizePc,int pc = pitch % 12;
src/composing/analysis/chord/analysisutils.h,72,12,normalizePc,return pc < 0 ? pc + 12 : pc;
src/composing/analysis/chord/analysisutils.h,90,5,diatonicMaskFromFifths,for (int i = fifths - 1; i <= fifths + 5; ++i) {
src/composing/analysis/chord/analysisutils.h,91,7,diatonicMaskFromFifths,m |= static_cast<uint16_t>(1u << normalizePc(7 * i));
src/composing/analysis/chord/analysisutils.h,105,2,collectionMask,"static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 };"
src/composing/analysis/chord/analysisutils.h,105,4,collectionMask,"static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 };"
src/composing/analysis/chord/analysisutils.h,105,5,collectionMask,"static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 };"
src/composing/analysis/chord/analysisutils.h,105,7,collectionMask,"static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 };"
src/composing/analysis/chord/analysisutils.h,105,9,collectionMask,"static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 };"
src/composing/analysis/chord/analysisutils.h,105,11,collectionMask,"static constexpr int kMajor[]     = { 0, 2, 4, 5, 7, 9, 11 };"
src/composing/analysis/chord/analysisutils.h,106,2,collectionMask,"static constexpr int kMinorHarm[] = { 0, 2, 3, 5, 7, 8, 10, 11 }; // natural minor + raised 7"
src/composing/analysis/chord/analysisutils.h,106,3,collectionMask,"static constexpr int kMinorHarm[] = { 0, 2, 3, 5, 7, 8, 10, 11 }; // natural minor + raised 7"
src/composing/analysis/chord/analysisutils.h,106,5,collectionMask,"static constexpr int kMinorHarm[] = { 0, 2, 3, 5, 7, 8, 10, 11 }; // natural minor + raised 7"
src/composing/analysis/chord/analysisutils.h,106,7,collectionMask,"static constexpr int kMinorHarm[] = { 0, 2, 3, 5, 7, 8, 10, 11 }; // natural minor + raised 7"
src/composing/analysis/chord/analysisutils.h,106,8,collectionMask,"static constexpr int kMinorHarm[] = { 0, 2, 3, 5, 7, 8, 10, 11 }; // natural minor + raised 7"
src/composing/analysis/chord/analysisutils.h,106,10,collectionMask,"static constexpr int kMinorHarm[] = { 0, 2, 3, 5, 7, 8, 10, 11 }; // natural minor + raised 7"
src/composing/analysis/chord/analysisutils.h,106,11,collectionMask,"static constexpr int kMinorHarm[] = { 0, 2, 3, 5, 7, 8, 10, 11 }; // natural minor + raised 7"
src/composing/analysis/chord/chordanalyzer.cpp,58,0.75,<file-scope>,static double kContradictionPenalty = 0.75;
src/composing/analysis/chord/chordanalyzer.cpp,68,1.8,<file-scope>,"static double kRootToneFactor          = 1.8;   // [theory-grounded ordering, empirical value]"
src/composing/analysis/chord/chordanalyzer.cpp,69,1.2,<file-scope>,"static double kSecondToneFactor        = 1.2;   // [theory-grounded ordering, empirical value]"
src/composing/analysis/chord/chordanalyzer.cpp,70,1.0,<file-scope>,static double kOtherToneFactor         = 1.0;   // baseline
src/composing/analysis/chord/chordanalyzer.cpp,71,3.0,<file-scope>,static double kTemplateToneWeightCap   = 3.0;   // [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,72,2.0,<file-scope>,static double kExtraNoteWeightCap      = 2.0;   // [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,84,0.45,<file-scope>,static double kExtensionFactor7th      = 0.45;  // m7/M7: common colour tone [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,85,0.20,<file-scope>,static double kExtensionFactorFlat13   = 0.20;  // b13/#5: inversion-ambiguous [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,86,0.35,<file-scope>,"static double kExtensionFactorDefault  = 0.35;  // 9th, 11th, etc.  [empirical]"
src/composing/analysis/chord/chordanalyzer.cpp,87,0.45,<file-scope>,static double kForeignPenalty          = 0.45;  // neither extension nor contradiction [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,96,0.10,<file-scope>,static double kSus4FlatThirdFactor     = 0.10;  // Eb spelling → minor intent  [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,97,0.45,<file-scope>,static double kSus4SharpThirdFactor    = 0.45;  // D# spelling → #9 intent     [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,104,0.75,<file-scope>,static double kDim7CharacteristicBonus = 0.75;  // fully-diminished fingerprint confirmed [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,105,0.35,<file-scope>,static double kNonBassPenalty          = 0.35;  // Min7/Sus4/HalfDim: prefer bass-root reading [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,106,0.70,<file-scope>,static double kSus4VariantMissing7th   = 0.70;  // Sus4b5/Sus4#5 without defining m7 [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,107,0.50,<file-scope>,static double kSus4Maj7MissingP5       = 0.50;  // Sus4+Maj7 without P5 anchor [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,108,0.70,<file-scope>,static double kSus4MissingFourth       = 0.70;  // Sus4 without defining P4 (interval 5) [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,113,0.50,<file-scope>,static double kSus4StructuralFourthThreshold = 0.50;
src/composing/analysis/chord/chordanalyzer.cpp,114,0.55,<file-scope>,static double kDom7FlatFiveTpcPenalty  = 0.55;  // dom7b5: enharmonic ambiguity without Gb TPC [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,115,0.50,<file-scope>,static double kDom7FlatFiveMissing7th  = 0.50;  // dom7b5 without minor 7th: too ambiguous [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,116,0.30,<file-scope>,static double kPowerChord3PcPenalty    = 0.30;  // power chord with 3+ pcs: triadic reading preferred [empirical]
src/composing/analysis/chord/chordanalyzer.cpp,117,0.05,<file-scope>,static double kBassSupportPresenceThreshold = 0.05;  // matches distinct-PC presence threshold
src/composing/analysis/chord/chordanalyzer.cpp,124,0.12,<file-scope>,static double kSeventhThreshold        = 0.12;
src/composing/analysis/chord/chordanalyzer.cpp,129,0.20,<file-scope>,static double kExtensionThreshold      = 0.20;
src/composing/analysis/chord/chordanalyzer.cpp,141,0.50,<file-scope>,static double kWComplete = 0.50;                    ///< Iter-92 root-position complete-triad bonus (was chordanalyzer.cpp local)
src/composing/analysis/chord/chordanalyzer.cpp,142,0.05,<file-scope>,static double kWCompletePresenceThreshold = 0.05;   ///< wComplete triad-tone presence bar (was the lambda-local kPresenceThreshold)
src/composing/analysis/chord/chordanalyzer.cpp,143,0.5,<file-scope>,static double kComplexityEvidenceFloor = 0.5;       ///< Iter-74 FixA: template-complexity discount threshold AND additive floor (one shaping constant)
src/composing/analysis/chord/chordanalyzer.cpp,144,0.5,<file-scope>,static double kAugThinEvidenceFactor = 0.5;         ///< Iter-78/79: augmented thin-evidence / bare-root halving factor (both *= sites)
src/composing/analysis/chord/chordanalyzer.cpp,204,4,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not minor
src/composing/analysis/chord/chordanalyzer.cpp,207,4,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not sus4
src/composing/analysis/chord/chordanalyzer.cpp,211,3,categorizeExtraNote,if (rel == 3)  return ExtraNoteCategory::Contradiction; // m3  → not sus2
src/composing/analysis/chord/chordanalyzer.cpp,212,4,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not sus2
src/composing/analysis/chord/chordanalyzer.cpp,215,4,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not diminished
src/composing/analysis/chord/chordanalyzer.cpp,216,7,categorizeExtraNote,if (rel == 7)  return ExtraNoteCategory::Contradiction; // P5  → not diminished (requires ♭5) // BUG-10
src/composing/analysis/chord/chordanalyzer.cpp,217,10,categorizeExtraNote,if (rel == 10) return ExtraNoteCategory::Contradiction; // m7  → half-diminished
src/composing/analysis/chord/chordanalyzer.cpp,218,11,categorizeExtraNote,if (rel == 11) return ExtraNoteCategory::Contradiction; // M7  → not diminished
src/composing/analysis/chord/chordanalyzer.cpp,221,4,categorizeExtraNote,if (rel == 4)  return ExtraNoteCategory::Contradiction; // M3  → not half-dim
src/composing/analysis/chord/chordanalyzer.cpp,222,9,categorizeExtraNote,if (rel == 9)  return ExtraNoteCategory::Contradiction; // dim7 → fully diminished
src/composing/analysis/chord/chordanalyzer.cpp,223,11,categorizeExtraNote,if (rel == 11) return ExtraNoteCategory::Contradiction; // M7  → not half-dim
src/composing/analysis/chord/chordanalyzer.cpp,232,2,categorizeExtraNote,case 2:  // 9
src/composing/analysis/chord/chordanalyzer.cpp,233,3,categorizeExtraNote,case 3:  // #9 (dual-use with minor 3rd; context overrides handled in caller)
src/composing/analysis/chord/chordanalyzer.cpp,234,5,categorizeExtraNote,case 5:  // 11
