file,line,kind,value,func,population,verdict_class,verdict,in_param_manifest,assumes,publishes,consumes,edge_cases,finding,note
src/composing/analysis/chord/chordsymbolformatter.cpp,23,crosslayer,,,LIVE,code,SURVIVES,n/a,n/a,n/a,n/a,n/a,,cross-layer include/call.
src/composing/analysis/chord/chordsymbolformatter.cpp,24,crosslayer,,,LIVE,code,SURVIVES,n/a,n/a,n/a,n/a,n/a,,cross-layer include/call.
src/composing/analysis/chord/chordsymbolformatter.cpp,43,function,csfPitchClassName,,LIVE,code,SURVIVES,n/a,a committed ChordAnalysisResult (identity + function + key context),a display string (chord symbol / Roman numeral / Nashville number),"notation render bridge, batch_analyze output, status bar / context menu","empty/sparse identity, Unknown quality, slash bass, enharmonic spelling, chromatic root, symmetric chord",,LIVE display formatter function; analysis-is-display-agnostic separation (#2.3).
src/composing/analysis/chord/chordsymbolformatter.cpp,46,literal,12,csfPitchClassName,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,FINDING duplication (#6): SHARP/FLAT/GERMAN note-name tables,The four static note-name arrays are duplicated verbatim in csfPitchClassNameFromTpc (88-99). ARCHITECTURE.md already flags this (a latent mis-spelling risk if one copy is edited without the other) and proposes a shared helper. Music-theory constant tables (ESTABLISHED values); the second copy is a #6 duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,49,literal,12,csfPitchClassName,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,The four static note-name arrays are duplicated verbatim in csfPitchClassNameFromTpc (88-99). ARCHITECTURE.md already flags this (a latent mis-spelling risk if one copy is edited without the other) and proposes a shared helper. Music-theory constant tables (ESTABLISHED values); the second copy is a #6 duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,53,literal,12,csfPitchClassName,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,The four static note-name arrays are duplicated verbatim in csfPitchClassNameFromTpc (88-99). ARCHITECTURE.md already flags this (a latent mis-spelling risk if one copy is edited without the other) and proposes a shared helper. Music-theory constant tables (ESTABLISHED values); the second copy is a #6 duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,56,literal,12,csfPitchClassName,LIVE,constant,ESTABLISHED,n/a,a committed ChordAnalysisResult + key-signature fifths,a display substring,notation render / batch output / status bar,handled per rendering branch,,The four static note-name arrays are duplicated verbatim in csfPitchClassNameFromTpc (88-99). ARCHITECTURE.md already flags this (a latent mis-spelling risk if one copy is edited without the other) and proposes a shared helper. Music-theory constant tables (ESTABLISHED values); the second copy is a #6 duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,62,branch,,csfPitchClassName,LIVE,constant,ESTABLISHED,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,The four static note-name arrays are duplicated verbatim in csfPitchClassNameFromTpc (88-99). ARCHITECTURE.md already flags this (a latent mis-spelling risk if one copy is edited without the other) and proposes a shared helper. Music-theory constant tables (ESTABLISHED values); the second copy is a #6 duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,63,branch,,csfPitchClassName,LIVE,constant,ESTABLISHED,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,The four static note-name arrays are duplicated verbatim in csfPitchClassNameFromTpc (88-99). ARCHITECTURE.md already flags this (a latent mis-spelling risk if one copy is edited without the other) and proposes a shared helper. Music-theory constant tables (ESTABLISHED values); the second copy is a #6 duplication.
src/composing/analysis/chord/chordsymbolformatter.cpp,65,branch,,csfPitchClassName,LIVE,constant,ESTABLISHED,n/a,a committed identity's quality/extensions/bass,a display substring for that case,the formatter's output string,the per-case notation convention it encodes,,The four static note-name arrays are duplicated verbatim in csfPitchClassNameFromTpc (88-99). ARCHITECTURE.md already flags this (a latent mis-spelling risk if one copy is edited without the other) and proposes a shared helper. Music-theory constant tables (ESTABLISHED values); the second copy is a #6 duplication.
