file,line,call,func,context
tools/a8_rebaseline_measure.py,420,write_text,measure_preset,"(out_dir / f""{preset}_mapping.json"").write_text("
tools/a8_rebaseline_measure.py,435,write_text,_write_cells,"path.write_text(""\n"".join(lines) + ""\n"", encoding=""utf-8"")"
tools/a8_rebaseline_measure.py,445,write_text,_write_runs,"path.write_text(""\n"".join(lines) + ""\n"", encoding=""utf-8"")"
tools/a8_rebaseline_measure.py,504,mkdir,main,"out_dir.mkdir(parents=True, exist_ok=True)"
tools/a8_rebaseline_measure.py,523,write_text,main,"(out_dir / ""summary.json"").write_text(json.dumps(summary, indent=1), encoding=""utf-8"")"
tools/a8_rebaseline_measure.py,252,glob,measure_preset,"ours_files = sorted(corpus_dir.glob(""*.ours.json""))"
tools/a8_rebaseline_measure.py,421,dumps,measure_preset,"json.dumps(mapping, indent=1), encoding=""utf-8"")"
tools/a8_rebaseline_measure.py,523,dumps,main,"(out_dir / ""summary.json"").write_text(json.dumps(summary, indent=1), encoding=""utf-8"")"
tools/a8_rebaseline_measure.py,508,read_text,main,scores = {s.strip() for s in Path(args.scores).read_text().splitlines() if s.strip()}
tools/analyze_inversion_errors.py,101,glob,main,"ours_files = sorted(ours_dir.glob(""*.ours.json""))"
tools/c1_reliability.py,182,glob,measure_l3,"for ours_path in sorted(corpus_dir.glob(""*.ours.json"")):"
tools/c1_reliability.py,203,loads,measure_l3,"km = json.loads(km_path.read_text(encoding=""utf-8""))"
tools/c1_reliability.py,230,glob,measure_l4_l5,"for fs_path in sorted(Path(fs_dir).glob(""*.ours.json"")):"
tools/c1_reliability.py,250,loads,measure_l4_l5,"raw = json.loads(fs_path.read_text(encoding=""utf-8""))"
tools/c1_reliability.py,409,write_text,main,"Path(args.out).write_text(json.dumps(report, indent=1), encoding=""utf-8"")"
tools/c1_reliability.py,203,read_text,measure_l3,"km = json.loads(km_path.read_text(encoding=""utf-8""))"
tools/c1_reliability.py,250,read_text,measure_l4_l5,"raw = json.loads(fs_path.read_text(encoding=""utf-8""))"
tools/c1_reliability.py,409,dumps,main,"Path(args.out).write_text(json.dumps(report, indent=1), encoding=""utf-8"")"
tools/c1_reliability.py,293,loads,measure_devbeds,"fs = json.loads(fj.read_text(encoding=""utf-8""))"
tools/c1_reliability.py,293,read_text,measure_devbeds,"fs = json.loads(fj.read_text(encoding=""utf-8""))"
tools/calibration_fit.py,51,loads,_load_splits,"reg = json.loads(SPLIT_REGISTRY.read_text(encoding=""utf-8""))"
tools/calibration_fit.py,302,mkdir,main,"out_dir.mkdir(parents=True, exist_ok=True)"
tools/calibration_fit.py,51,read_text,_load_splits,"reg = json.loads(SPLIT_REGISTRY.read_text(encoding=""utf-8""))"
tools/calibration_fit.py,69,glob,collect_l3,"for ours_path in sorted(corpus_dir.glob(""*.ours.json"")):"
tools/calibration_fit.py,93,loads,collect_l3,"km = json.loads(km_path.read_text(encoding=""utf-8""))"
tools/calibration_fit.py,112,glob,collect_l4,"for fs_path in sorted(Path(fs_dir).glob(""*.ours.json"")):"
tools/calibration_fit.py,135,loads,collect_l4,"raw = json.loads(fs_path.read_text(encoding=""utf-8""))"
