file,line,row_type,item,func,verdict,category,flag,note
tools/analyze_inversion_errors.py,35,function,_infer_quality,_infer_quality,SURVIVES,instrument-function,1,tool-local chord-SYMBOL->quality heuristic; unmatched body defaults to 'Major' (line 56) -- a silent misclassification path.
tools/analyze_inversion_errors.py,64,function,main,main,SURVIVES,instrument-function,0,live instrument function.
tools/analyze_inversion_errors.py,327,function,_has_clean_alt,_has_clean_alt,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,66,function,squash,squash,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,73,function,bin_curve,bin_curve,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,101,function,curve_diagnostics,curve_diagnostics,SURVIVES,instrument-function,1,"the ECE/monotonicity/signed-gap grading; monotonicity is squash-invariant, ECE is not."
tools/c1_reliability.py,131,function,fmt_curve,fmt_curve,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,151,function,cells_with_region_conf,cells_with_region_conf,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,165,function,_load_wir,_load_wir,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,177,function,measure_l3,measure_l3,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,223,function,measure_l4_l5,measure_l4_l5,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,280,function,measure_devbeds,measure_devbeds,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,331,function,_range,_range,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,337,function,main,main,SURVIVES,instrument-function,0,live instrument function.
tools/c1_reliability.py,350,function,emit,emit,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,50,function,_load_splits,_load_splits,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,55,function,_corpus_git_hash,_corpus_git_hash,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,65,function,collect_l3,collect_l3,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,108,function,collect_l4,collect_l4,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,148,function,diag_of,diag_of,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,154,function,split_pairs,split_pairs,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,160,function,fit_isotonic,fit_isotonic,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,169,function,fit_platt,fit_platt,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,180,function,apply_map,apply_map,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,189,function,curve_at,curve_at,SURVIVES,instrument-function,0,live instrument function.
tools/calibration_fit.py,196,function,fit_row,fit_row,SURVIVES,instrument-function,1,the fitting decision: isotonic-default / Platt-if-near-logistic-and-not-worse; carries the 50/20 sufficiency + 0.05 near-logistic tolerances.
tools/calibration_fit.py,293,function,main,main,SURVIVES,instrument-function,0,live instrument function.
tools/music21_batch.py,84,function,_is_bach_chorale,_is_bach_chorale,SURVIVES,instrument-function,0,live instrument function.
