file,line,include,resolved,target_area
src/composing/analysis/joint/jointadapter.cpp,23,jointadapter.h,jointadapter.h,external
src/composing/analysis/joint/jointadapter.cpp,31,jointembeddedartifacts.h,jointembeddedartifacts.h,external
src/composing/analysis/joint/jointadapter.cpp,32,serialization/json.h,serialization/json.h,external
src/composing/analysis/joint/jointadapter.cpp,33,types/bytearray.h,types/bytearray.h,types
src/composing/analysis/joint/jointadapter.h,32,jointprimitives.h,jointprimitives.h,external
src/composing/analysis/joint/jointadapter.h,33,jointtables.h,jointtables.h,external
src/composing/analysis/joint/jointadapter.h,34,jointweights.h,jointweights.h,external
src/composing/analysis/joint/jointdecoder.cpp,23,jointdecoder.h,jointdecoder.h,external
src/composing/analysis/joint/jointdecoder.cpp,33,serialization/json.h,serialization/json.h,external
src/composing/analysis/joint/jointdecoder.cpp,34,types/bytearray.h,types/bytearray.h,types
src/composing/analysis/joint/jointdecoder.h,33,jointadapter.h,jointadapter.h,external
src/composing/analysis/joint/jointdecoder.h,34,jointprimitives.h,jointprimitives.h,external
src/composing/analysis/joint/jointdecoder.h,35,jointtables.h,jointtables.h,external
src/composing/analysis/joint/jointfactadapter.cpp,23,jointfactadapter.h,jointfactadapter.h,external
src/composing/analysis/joint/jointfactadapter.cpp,34,composing/analysis/notemodel/note_model.h,composing/analysis/notemodel/note_model.h,notemodel
src/composing/analysis/joint/jointfactadapter.cpp,37,engraving/dom/measure.h,engraving/dom/measure.h,external
src/composing/analysis/joint/jointfactadapter.cpp,38,engraving/dom/part.h,engraving/dom/part.h,external
src/composing/analysis/joint/jointfactadapter.cpp,39,engraving/dom/score.h,engraving/dom/score.h,external
src/composing/analysis/joint/jointfactadapter.cpp,40,engraving/dom/staff.h,engraving/dom/staff.h,external
src/composing/analysis/joint/jointfactadapter.cpp,41,engraving/types/fraction.h,engraving/types/fraction.h,types
src/composing/analysis/joint/jointfactadapter.cpp,42,engraving/dom/pitchspelling.h,engraving/dom/pitchspelling.h,external
src/composing/analysis/joint/jointfactadapter.cpp,43,engraving/types/types.h,engraving/types/types.h,types
src/composing/analysis/joint/jointfactadapter.h,31,jointdecoder.h,jointdecoder.h,external
src/composing/analysis/joint/jointnotationproducer.cpp,23,jointnotationproducer.h,jointnotationproducer.h,external
src/composing/analysis/joint/jointnotationproducer.cpp,25,jointfactadapter.h,jointfactadapter.h,external
src/composing/analysis/joint/jointnotationproducer.cpp,26,jointweights.h,jointweights.h,external
src/composing/analysis/joint/jointnotationproducer.h,31,jointnotationrecord.h,jointnotationrecord.h,external
