file,line,type_owner,field_type,name,context
src/composing/analysis/joint/jointdecoder.h,50,NoteRec,double,beat,double beat = 0.0;
src/composing/analysis/joint/jointdecoder.h,55,EventRec,int,start,"int start = 0, end = 0, measure = 0, mc = 0, ferm = 0;"
src/composing/analysis/joint/jointdecoder.h,56,EventRec,double,beat,double beat = 0.0;
src/composing/analysis/joint/jointdecoder.h,61,Piece,std::string,stem,std::string stem;
src/composing/analysis/joint/jointdecoder.h,62,Piece,std::vector<EventRec>,events,std::vector<EventRec> events;
src/composing/analysis/joint/jointdecoder.h,63,Piece,std::vector<NoteRec>,notes,std::vector<NoteRec> notes;
src/composing/analysis/joint/jointdecoder.h,64,Piece,int,nQuarter,int nQuarter = 0;
src/composing/analysis/joint/jointdecoder.h,67,Piece,std::vector<std::vector<int> >,notesByEvent,std::vector<std::vector<int> > notesByEvent;    // note indices whose ONSET is in event e (non-anacrusis)
src/composing/analysis/joint/jointdecoder.h,68,Piece,std::vector<std::optional<int> >,evBass,"std::vector<std::optional<int> > evBass;         // per event: lowest-midi note's pc, or none"
src/composing/analysis/joint/jointdecoder.h,69,Piece,std::vector<PcMask>,evOnsetPcs,std::vector<PcMask> evOnsetPcs;                  // per event: onset pcs
src/composing/analysis/joint/jointdecoder.h,70,Piece,std::vector<char>,evFermCtx,std::vector<char> evFermCtx;                     // per event: gfb fermata-context flag
src/composing/analysis/joint/jointdecoder.h,71,Piece,"std::vector<std::array<int, 3> >",liveNotes,"std::vector<std::array<int, 3> > liveNotes;       // (onset, offset, pc) for non-anacrusis notes, by onset"
src/composing/analysis/joint/jointdecoder.h,80,ChordInfo,std::optional<PcMask>,mem,std::optional<PcMask> mem;
src/composing/analysis/joint/jointdecoder.h,81,ChordInfo,std::optional<std::vector<ChordFactor> >,fac,std::optional<std::vector<ChordFactor> > fac;
src/composing/analysis/joint/jointdecoder.h,82,ChordInfo,std::optional<int>,root,std::optional<int> root;
src/composing/analysis/joint/jointdecoder.h,112,SegmentSummary,int,i,"int i = 0, j = 0, startTick = 0, endTick = 0, tonicPc = 0;"
src/composing/analysis/joint/jointdecoder.h,113,SegmentSummary,bool,isMajor,bool isMajor = true;
src/composing/analysis/joint/jointdecoder.h,114,SegmentSummary,"std::string key,",classKey,"std::string key, classKey;"
src/composing/analysis/joint/jointdecoder.h,115,SegmentSummary,std::optional<int>,rootPc,std::optional<int> rootPc;
src/composing/analysis/joint/jointdecoder.h,116,SegmentSummary,"std::string degree, quality, inversion,",target,"std::string degree, quality, inversion, target;"
src/composing/analysis/joint/jointdecoder.h,120,DecodeResult,std::string,stem,std::string stem;
src/composing/analysis/joint/jointdecoder.h,121,DecodeResult,std::vector<SegmentSummary>,segments,std::vector<SegmentSummary> segments;
src/composing/analysis/joint/jointdecoder.h,122,DecodeResult,double,totalScore,double totalScore = 0.0;
