file,name,start_line,end_line
src/composing/analysis/joint/jointadapter.cpp,safeLog,38,41
src/composing/analysis/joint/jointadapter.cpp,distSum,44,57
src/composing/analysis/joint/jointadapter.cpp,distGet,59,63
src/composing/analysis/joint/jointadapter.cpp,roleFigures,67,79
src/composing/analysis/joint/jointadapter.cpp,parseMarginalRoot,83,94
src/composing/analysis/joint/jointadapter.cpp,fillModeMarginal,97,108
src/composing/analysis/joint/jointadapter.cpp,modeName,111,116
src/composing/analysis/joint/jointadapter.cpp,modeMarginal,118,121
src/composing/analysis/joint/jointadapter.cpp,anyCadenceWeight,123,131
src/composing/analysis/joint/jointadapter.cpp,load,133,160
src/composing/analysis/joint/jointadapter.cpp,loadEmbedded,162,179
src/composing/analysis/joint/jointadapter.cpp,firstBucket,183,202
src/composing/analysis/joint/jointadapter.cpp,apportion,204,225
src/composing/analysis/joint/jointadapter.cpp,katzQuery,227,254
src/composing/analysis/joint/jointadapter.cpp,firstPresentDist,256,266
src/composing/analysis/joint/jointadapter.cpp,priorLogp,270,304
src/composing/analysis/joint/jointadapter.cpp,priorTerms,306,312
src/composing/analysis/joint/jointadapter.cpp,entryLogp,316,320
src/composing/analysis/joint/jointadapter.cpp,keyTransLogp,324,351
src/composing/analysis/joint/jointadapter.cpp,chordTransLogp,355,392
src/composing/analysis/joint/jointadapter.cpp,emissionLogp,396,416
src/composing/analysis/joint/jointadapter.cpp,spellingLogp,420,439
src/composing/analysis/joint/jointadapter.cpp,bassLogp,443,470
src/composing/analysis/joint/jointadapter.cpp,factorAbsentLogp,472,480
src/composing/analysis/joint/jointadapter.cpp,boundaryLogp,484,506
src/composing/analysis/joint/jointadapter.h,log0Floor,46,46
src/composing/analysis/joint/jointadapter.h,loaded,63,63
src/composing/analysis/joint/jointadapter.h,error,64,64
src/composing/analysis/joint/jointadapter.h,corpusGitHash,65,65
src/composing/analysis/joint/jointadapter.h,weights,66,66
src/composing/analysis/joint/jointadapter.h,tables,67,67
src/composing/analysis/joint/jointadapter.h,cadenceWeight,70,70
src/composing/analysis/joint/jointdecoder.cpp,popcount,49,57
src/composing/analysis/joint/jointdecoder.cpp,stateEnc,59,62
src/composing/analysis/joint/jointdecoder.cpp,keyEnc,64,67
src/composing/analysis/joint/jointdecoder.cpp,keyString,69,72
src/composing/analysis/joint/jointdecoder.cpp,eventBassPc,74,88
src/composing/analysis/joint/jointdecoder.cpp,prepare,93,151
src/composing/analysis/joint/jointdecoder.cpp,overlapPcs,153,167
src/composing/analysis/joint/jointdecoder.cpp,approachWindowPcs,169,183
src/composing/analysis/joint/jointdecoder.cpp,chromaticRootPc,187,203
src/composing/analysis/joint/jointdecoder.cpp,get,205,222
src/composing/analysis/joint/jointdecoder.cpp,Vocabulary,226,267
src/composing/analysis/joint/jointdecoder.cpp,find,269,273
src/composing/analysis/joint/jointdecoder.cpp,segmentFeatures,283,335
src/composing/analysis/joint/jointdecoder.cpp,weightedContent,337,351
src/composing/analysis/joint/jointdecoder.cpp,cadenceFired,356,395
src/composing/analysis/joint/jointdecoder.cpp,candidateKeys,398,421
src/composing/analysis/joint/jointdecoder.cpp,candidateStates,423,455
src/composing/analysis/joint/jointdecoder.cpp,segmentContentScore,458,464
src/composing/analysis/joint/jointdecoder.cpp,computePosteriorSlice,466,533
src/composing/analysis/joint/jointdecoder.cpp,decodePiece,537,890
src/composing/analysis/joint/jointdecoder.cpp,loadPiecesFromNoteEvents,894,955
src/composing/analysis/joint/jointdecoder.h,ordered,103,103
src/composing/analysis/joint/jointfactadapter.cpp,round4,60,63
src/composing/analysis/joint/jointfactadapter.cpp,beatClass,67,83
src/composing/analysis/joint/jointfactadapter.cpp,beatDurTicks,114,123
src/composing/analysis/joint/jointfactadapter.cpp,buildGrid,130,189
src/composing/analysis/joint/jointfactadapter.cpp,gridIndexOf,191,203
src/composing/analysis/joint/jointfactadapter.cpp,measureNumberOf,205,208
src/composing/analysis/joint/jointfactadapter.cpp,notePaddedBeat,212,224
src/composing/analysis/joint/jointfactadapter.cpp,buildEventMeasMap,239,253
src/composing/analysis/joint/jointfactadapter.cpp,eventMeasureBeat,256,273
src/composing/analysis/joint/jointfactadapter.cpp,melodic,279,320
src/composing/analysis/joint/jointfactadapter.cpp,buildAdapterFacts,323,501
src/composing/analysis/joint/jointnotationproducer.cpp,produceNotationRecord,32,61
src/composing/analysis/joint/jointnotationproducer.cpp,produceNotationRecord,63,75
src/composing/analysis/joint/jointnotationproducer.cpp,spanViewSegments,77,90
src/composing/analysis/joint/jointnotationproducer.cpp,noteView,92,106
src/composing/analysis/joint/jointnotationrecord.cpp,recordDiatonicToKey,47,61
src/composing/analysis/joint/jointnotationrecord.cpp,recordAugSixthSubType,73,89
src/composing/analysis/joint/jointnotationrecord.cpp,degreeFromLofDiff,99,104
src/composing/analysis/joint/jointnotationrecord.cpp,computeModalReading,107,156
src/composing/analysis/joint/jointnotationrecord.cpp,bassFactorRole,162,173
src/composing/analysis/joint/jointnotationrecord.cpp,assembleNotationRecord,176,267
src/composing/analysis/joint/jointprimitives.cpp,degreeNum,47,54
src/composing/analysis/joint/jointprimitives.cpp,qualTemplates,61,70
src/composing/analysis/joint/jointprimitives.cpp,isDimQuality,72,75
src/composing/analysis/joint/jointprimitives.cpp,maskOf,77,84
src/composing/analysis/joint/jointprimitives.cpp,majRelColl,87,87
src/composing/analysis/joint/jointprimitives.cpp,minRelColl,88,88
src/composing/analysis/joint/jointprimitives.cpp,pythonMod,90,90
src/composing/analysis/joint/jointprimitives.cpp,splitDegree,93,107
src/composing/analysis/joint/jointprimitives.cpp,chordRoot,110,126
src/composing/analysis/joint/jointprimitives.cpp,splitByPipe,128,144
src/composing/analysis/joint/jointprimitives.cpp,familyKeyOf,147,155
src/composing/analysis/joint/jointprimitives.cpp,startsWith,159,162
src/composing/analysis/joint/jointprimitives.cpp,pcToFifths,164,168
src/composing/analysis/joint/jointprimitives.cpp,pcKeyName,170,175
src/composing/analysis/joint/jointprimitives.cpp,frameworkAndRoot,177,236
src/composing/analysis/joint/jointprimitives.cpp,memberPcs,238,261
src/composing/analysis/joint/jointprimitives.cpp,chordFactorPcs,263,277
src/composing/analysis/joint/jointprimitives.cpp,noteCategory,279,286
src/composing/analysis/joint/jointprimitives.cpp,intervalLof,310,324
src/composing/analysis/joint/jointprimitives.cpp,degreeLofOffset,330,341
src/composing/analysis/joint/jointprimitives.cpp,frameworkTonicLof,346,377
src/composing/analysis/joint/jointprimitives.cpp,keySignatureFifths,380,386
src/composing/analysis/joint/jointprimitives.cpp,rootSpellingLof,388,410
src/composing/analysis/joint/jointprimitives.cpp,factorSpellingLof,412,420
src/composing/analysis/joint/jointprimitives.cpp,keyCollectionMask,422,439
src/composing/analysis/joint/jointprimitives.cpp,spellingBin,441,459
src/composing/analysis/joint/jointprimitives.cpp,spellingParent,461,477
src/composing/analysis/joint/jointprimitives.cpp,emitDisplay,479,482
src/composing/analysis/joint/jointprimitives.cpp,emitContextChain,484,492
src/composing/analysis/joint/jointprimitives.cpp,collectionFifths,494,498
src/composing/analysis/joint/jointprimitives.cpp,foldFifthsDiff,500,504
src/composing/analysis/joint/jointprimitives.cpp,cofDistance,506,512
src/composing/analysis/joint/jointprimitives.cpp,keyChangeKind,514,526
src/composing/analysis/joint/jointprimitives.cpp,t1CtxChain,528,534
src/composing/analysis/joint/jointprimitives.cpp,t4CtxChain,536,541
src/composing/analysis/joint/jointprimitives.cpp,t1OutcomeParent,543,563
src/composing/analysis/joint/jointprimitives.cpp,t3EntryParent,565,578
src/composing/analysis/joint/jointprimitives.cpp,appliedRelParent,580,596
src/composing/analysis/joint/jointprimitives.cpp,relationCell,598,621
src/composing/analysis/joint/jointprimitives.h,neumaierSum,66,80
src/composing/analysis/joint/jointprimitives.h,keyStr,176,176
src/composing/analysis/joint/jointprimitives.h,ofClass,177,177
src/composing/analysis/joint/jointprimitives.h,ofStr,178,178
src/composing/analysis/joint/jointrender.cpp,jointOursQuality,34,45
src/composing/analysis/joint/jointrender.cpp,jointChordSymbol,49,55
src/composing/analysis/joint/jointrender.cpp,jointRenderRn,59,88
src/composing/analysis/joint/jointtables.cpp,parseRoot,38,53
src/composing/analysis/joint/jointtables.cpp,readRoot,58,72
src/composing/analysis/joint/jointtables.cpp,parseDist,75,84
src/composing/analysis/joint/jointtables.cpp,parseKatz,90,104
src/composing/analysis/joint/jointtables.cpp,parseBoundaryCell,111,126
src/composing/analysis/joint/jointtables.cpp,buildTables,133,186
src/composing/analysis/joint/jointtables.cpp,load,189,202
src/composing/analysis/joint/jointtables.cpp,loadEmbedded,204,220
src/composing/analysis/joint/jointweights.cpp,get,41,45
src/composing/analysis/joint/jointweights.cpp,identityWeights,47,62
src/composing/analysis/joint/jointweights.cpp,selectedWeights,64,75
src/composing/analysis/joint/labelclass.cpp,m_rawUnnormalized,41,43
src/composing/analysis/joint/labelclass.cpp,key,45,48
src/composing/analysis/joint/labelclass.cpp,inversionFree,50,53
src/composing/analysis/joint/labelclass.cpp,family,55,59
src/composing/analysis/joint/labelclass.cpp,isSeventhQuality,68,76
src/composing/analysis/joint/labelclass.cpp,classFromKey,78,96
src/composing/analysis/joint/labelclass.h,degreeBase,49,49
src/composing/analysis/joint/labelclass.h,quality,50,50
src/composing/analysis/joint/labelclass.h,inversion,51,51
src/composing/analysis/joint/labelclass.h,target,52,52
src/composing/analysis/joint/labelclass.h,rawUnnormalized,53,53
src/composing/analysis/section/sectionrecordadapter.cpp,recordFunctionDegree,89,103
src/composing/analysis/section/sectionrecordadapter.cpp,qualityFromOursString,108,126
src/composing/analysis/section/sectionrecordadapter.cpp,seventhExtensionFromJointQuality,135,146
src/composing/analysis/section/sectionrecordadapter.cpp,twoModeOf,148,151
src/composing/analysis/section/sectionrecordadapter.cpp,keyAxisGap,158,175
src/composing/analysis/section/sectionrecordadapter.cpp,recordAlternatives,182,224
src/composing/analysis/section/sectionrecordadapter.cpp,chordResultFromRecordSegment,234,264
src/composing/analysis/section/sectionrecordadapter.cpp,regionFromRecordSegment,271,307
src/composing/analysis/section/sectionrecordadapter.cpp,analyzeSectionFromRecord,309,362
src/notation/internal/notationcomposingbridge.cpp,applySparseChordKeyContext,85,119
src/notation/internal/notationcomposingbridge.cpp,inferSparseChordResult,121,198
