file,line,call,func,context
tools/joint_estimator/adoption_measure.py,84,loads,selected_weights,"ws = json.loads(WEIGHT_SEARCH.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,94,loads,load_adapter_pieces,"adp = json.loads(ADAPTER_FACTS.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,125,loads,phase_decode,"dref = json.loads(DECODE_REF.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,127,loads,phase_decode,"e2e = json.loads(ENDTOEND.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,217,write_text,phase_decode,"DECODE_CACHE.write_text(json.dumps(out), encoding=""utf-8"")"
tools/joint_estimator/adoption_measure.py,84,read_text,selected_weights,"ws = json.loads(WEIGHT_SEARCH.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,94,read_text,load_adapter_pieces,"adp = json.loads(ADAPTER_FACTS.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,125,read_text,phase_decode,"dref = json.loads(DECODE_REF.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,127,read_text,phase_decode,"e2e = json.loads(ENDTOEND.read_text(encoding=""utf-8""))"
tools/joint_estimator/adoption_measure.py,180,mkdir,phase_decode,"d.mkdir(parents=True, exist_ok=True)"
tools/joint_estimator/adoption_measure.py,181,glob,phase_decode,"for f in d.glob(""*.ours.json""):"
tools/joint_estimator/adoption_measure.py,195,write_text,phase_decode,"(d / MANIFEST_NAME).write_text(json.dumps(manifest, indent=1), encoding=""utf-8"")"
tools/joint_estimator/adoption_measure.py,217,dumps,phase_decode,"DECODE_CACHE.write_text(json.dumps(out), encoding=""utf-8"")"
tools/joint_estimator/adoption_measure.py,188,write_bytes,phase_decode,"(d / f""{stem}.ours.json"").write_bytes(b)"
tools/joint_estimator/adoption_measure.py,195,dumps,phase_decode,"(d / MANIFEST_NAME).write_text(json.dumps(manifest, indent=1), encoding=""utf-8"")"
tools/joint_estimator/adoption_measure.py,187,dumps,phase_decode,"b = json.dumps(body, indent=1).encode(""utf-8"")"
tools/joint_estimator/adoption_measure_b.py,57,mkdir,run_a8_and_diff,"am.CAND_A8.mkdir(parents=True, exist_ok=True)"
tools/joint_estimator/adoption_measure_b.py,61,write_text,run_a8_and_diff,"(am.CAND_A8 / ""_a8_stdout.txt"").write_text(r1.stdout + ""\n"" + r1.stderr, encoding=""utf-8"")"
