kind,file,line,name,verdict,reason,flag,fire_route,in_param_manifest
function,src/composing/analysis/joint/jointadapter.cpp,,safeLog,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,distSum,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,distGet,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,roleFigures,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,parseMarginalRoot,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,fillModeMarginal,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,modeName,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,modeMarginal,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,anyCadenceWeight,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,load,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,loadEmbedded,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,firstBucket,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,apportion,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,katzQuery,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,firstPresentDist,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,priorLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,priorTerms,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,entryLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
function,src/composing/analysis/joint/jointadapter.cpp,,keyTransLogp,SURVIVES,production-surviving joint module function (notation record path + batch decode),,route-A:tests,no
